Taxonomy ID,Domain,Status,Proposal Name,Genome Name,Taxon Object ID,NCBI Taxon ID,RefSeq Project ID,GenBank Project ID,Phylum,Class,Order,Family,Genus,Species,Strain,Sequencing Center,IMG Submission ID,GOLD ID,Biotic Relationships,Body Site,Body Subsite,Cell Arrangement,Cell Shape,Diseases,Energy Source,Ecosystem,Ecosystem Category,Ecosystem Type,Ecosystem Subtype,Isolation,Specific Ecosystem,Motility,Metabolism,Oxygen Requirement,Phenotype,Salinity,Sporulation,Temperature Range,Genome Size,Gene Count,16S rRNA Count,Paralogs Count,Paralogs %,KEGG Count,KEGG %,MetaCyc Count,MetaCyc %,IMG Pathwawy Count,IMG Pathway %
640427153,Archaea,Finished,zzz,Methanocella sp. RC-I,640427153,351160,61623,19641,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,sp.,archaeon RC-I,"Max Planck Institute, Max-Planck Institute",,Gc00528,Free living,,,,,None,Lithotroph,,,,,Free living,,,Methanogen,,Non-Pathogen,,,Mesophile,3179916,3149,3,619,19.66,738,23.44,455,14.45,207,6.57
637000161,Archaea,Finished,Methanococcoides burtonii DSM 6242,Methanococcoides burtonii DSM 6242,637000161,259564,58023,9634,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,burtonii,DSM 6242,"DOE Joint Genome Institute, UMBI",,Gc00366,Free living,,,,,None,Lithotroph,,,,,Free living,,Motile,Methanogen,Anaerobe,,,Nonsporulating,Psychrophile,2575032,2506,3,464,18.52,689,27.49,430,17.16,221,8.82
640753034,Archaea,Finished,5 mesophilic methanococci Proposal # 0179-051115,Methanococcus aeolicus Nankai-3,640753034,419665,58823,18641,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,aeolicus,Nankai-3,DOE Joint Genome Institute,,Gc00589,Free living,,,Singles,Coccus-shaped,None,Lithotroph,,,,,Free living,,Motile,Methanogen,Anaerobe,,,Nonsporulating,Mesophile,1569500,1554,2,140,9.01,614,39.51,392,25.23,184,11.84
640069316,Archaea,Finished,zzz,Methanococcus maripaludis C5,640069316,402880,58741,17641,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,maripaludis,C5,DOE Joint Genome Institute,,Gc00527,Free living,,,Singles,Coccus-shaped,None,Lithotroph,,,,,Free living,,Motile,"Methanogen, Nitrogen fixation, Hydrogenotrophic",Obligate anaerobe,Non-Pathogen,,Nonsporulating,Mesophile,1789046,1896,3,250,13.19,634,33.44,385,20.31,199,10.5
641228496,Archaea,Finished,5 mesophilic methanococci Proposal # 0179-051115,Methanococcus maripaludis C6,641228496,444158,58947,19639,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,maripaludis,C6,DOE Joint Genome Institute,,Gc00678,Free living,,,Singles,Coccus-shaped,None,Lithotroph,,,,,Free living,,Motile,"Methanogen, Hydrogenotrophic, Nitrogen fixation",Obligate anaerobe,Non-Pathogen,,Nonsporulating,Mesophile,1744193,1874,3,216,11.53,621,33.14,374,19.96,109,5.82
640753035,Archaea,Finished,5 mesophilic methanococci Proposal # 0179-051115,Methanococcus maripaludis C7,640753035,426368,58847,18819,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,maripaludis,C7,DOE Joint Genome Institute,,Gc00591,Free living,,,Singles,Coccus-shaped,None,Lithotroph,,,,,Free living,,Motile,"Hydrogenotrophic, Nitrogen fixation, Methanogen",Obligate anaerobe,,,Nonsporulating,Mesophile,1772694,1858,3,259,13.94,632,34.02,374,20.13,187,10.06
638154506,Archaea,Finished,zzz,Methanococcus maripaludis S2,638154506,267377,58035,10632,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,maripaludis,S2,Univ of Washington- Seattle,,Gc00177,Free living,,,Singles,Coccus-shaped,None,"Chemolithoautotroph, Lithotroph",,,,,Free living,,Motile,"Nitrogen fixation, Hydrogenotrophic, Methanogen",Obligate anaerobe,,,Nonsporulating,Mesophile,1661137,1777,3,195,10.97,579,32.58,366,20.6,201,11.31
640753036,Archaea,Finished,zzz,Methanococcus vannielii SB,640753036,406327,58767,17889,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,vannielii,SB,DOE Joint Genome Institute,,Gc00588,Free living,,,Singles,Coccus-shaped,None,Lithotroph,,,,,Free living,,Motile,Methanogen,Anaerobe,Non-Pathogen,,Nonsporulating,Mesophile,1720048,1755,4,213,12.14,642,36.58,387,22.05,197,11.23
646564549,Archaea,Finished,5 mesophilic methanococci Proposal # 0179-051115,Methanococcus voltae A3,646564549,456320,49529,20131,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,voltae,A3,DOE Joint Genome Institute,,Gc01340,Free living,,,"Singles, Pairs",Coccus-shaped,None,Lithotroph,,,,,Free living,,Motile,Methanogen,Anaerobe,,,Nonsporulating,Mesophile,1936387,1768,2,263,14.88,549,31.05,346,19.57,89,5.03
640069317,Archaea,Finished,Diverse archaeal organisms,Methanocorpusculum labreanum Z,640069317,410358,58785,18109,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,labreanum,Z,DOE Joint Genome Institute,,Gc00506,Free living,,,,Coccus-shaped,None,Lithotroph,,,,,Free living,,Nonmotile,Methanogen,Anaerobe,Non-Pathogen,,Nonsporulating,Mesophile,1804962,1830,3,249,13.61,615,33.61,377,20.6,197,10.77
640069318,Archaea,Finished,Diverse archaeal organisms,"Methanoculleus marisnigri JR1, DSM 1498",640069318,368407,58561,16330,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocullaceae,Methanoculleus,marisnigri,JR1,DOE Joint Genome Institute,,Gc00512,Free living,,,,Coccus-shaped,None,Lithotroph,,,,,Free living,,Motile,Methanogen,Anaerobe,Non-Pathogen,,Nonsporulating,Mesophile,2478101,2560,1,458,17.89,724,28.28,447,17.46,233,9.1
648028039,Archaea,Finished,Comparative genomics of the Archaea,"Methanohalobium evestigatum Z-7303, DSM 3721",648028039,644295,49857,37945,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalobium,evestigatum,Z-7303,DOE Joint Genome Institute,,Gc01304,,,,,,None,"Autotroph, Lithotroph",,,,,,,,Methanogen,Anaerobe,,Halophile,,Thermophile,2406232,2437,2,531,21.79,603,24.74,374,15.35,201,8.25
646564550,Archaea,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Methanohalophilus mahii SLP, DSM 5219",646564550,547558,47313,30711,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,mahii,DSM 5219,"DOE Joint Genome Institute, DSMZ",,Gc01255,Free living,,,,Coccus-shaped,None,Methylotroph,,,,,Free living,,Nonmotile,Methanogen,Anaerobe,,Halophile,,Mesophile,2012424,2095,3,265,12.65,656,31.31,414,19.76,211,10.07
638154507,Archaea,Finished,zzz,Methanopyrus kandleri AV19,638154507,190192,57883,294,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,kandleri,AV19,Fidelity Systems Inc,,Gc00080,Free living,,,,Rod-shaped,None,Lithotroph,,,,,Free living,,,Methanogen,Anaerobe,,,Nonsporulating,Hyperthermophile,1694969,1767,1,122,6.9,493,27.9,334,18.9,186,10.53
639633038,Archaea,Finished,zzz,Methanosaeta thermophila PT,639633038,349307,58469,15765,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,thermophila,PT,DOE Joint Genome Institute,,Gc00452,Free living,,,,,None,Lithotroph,,,,,Free living,,Nonmotile,"Methanogen, Acetotrophic",Anaerobe,,,Nonsporulating,Thermophile,1879471,1785,2,184,10.31,600,33.61,378,21.18,193,10.81
638154508,Archaea,Finished,zzz,Methanosarcina acetivorans C2A,638154508,188937,57879,290,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,acetivorans,C2A,"Broad Institute, Univ of Illinois at Urbana-Champaign",,Gc00084,Free living,,,,Coccus-shaped,None,Lithotroph,,,,,Free living,,Nonmotile,Methanogen,Anaerobe,,,Nonsporulating,Mesophile,5751492,4807,3,1570,32.66,1017,21.16,551,11.46,271,5.64
637000162,Archaea,Finished,Methanosarcina barkeri fusaro,"Methanosarcina barkeri Fusaro, DSM 804",637000162,269797,57715,103,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,barkeri,str. fusaro,"DOE Joint Genome Institute, Univ of Maryland",,Gc00295,Free living,,,Singles,Coccus-shaped,None,Lithotroph,,,,,Free living,,Nonmotile,"Cellulose degrader, Methanogen",Anaerobe,,,Nonsporulating,Mesophile,4873766,3834,3,1183,30.86,950,24.78,539,14.06,260,6.78
638154509,Archaea,Finished,zzz,"Methanosarcina mazei Go1, DSM 3647",638154509,192952,57893,300,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,mazei,Go1,"Goettingen Genomics Laboratory, Integrated Genomics Inc",,Gc00093,Free living,,,,Coccus-shaped,None,Lithotroph,,,,,Free living,,Nonmotile,Methanogen,Anaerobe,,,Nonsporulating,Mesophile,4096345,3469,3,948,27.33,836,24.1,475,13.69,239,6.89
637000163,Archaea,Finished,zzz,Methanosphaera stadtmanae DSM 3091,637000163,339860,58407,15579,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,stadtmanae,DSM 3091,"Goettingen Genomics Laboratory, Max Planck Institute, Max-Planck Institute",,Gc00334,Free living,Gastrointestinal tract,,"Pairs, Tetrads",Sphere-shaped,None,Lithotroph,,,,,Free living,,Nonmotile,"Methanogen, Methanol reducer",Anaerobe,,,,Mesophile,1767403,1592,4,189,11.87,571,35.87,357,22.42,195,12.25
637000164,Archaea,Finished,zzz,Methanospirillum hungatei JF-1,637000164,323259,58181,13015,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,hungatei,JF-1,DOE Joint Genome Institute,,Gc00350,Free living,,,"Chains, Singles",Curved-shaped,None,Lithotroph,,,,,Free living,,Motile,Methanogen,Anaerobe,,,Nonsporulating,Mesophile,3544738,3307,4,776,23.47,813,24.58,458,13.85,229,6.92
648028041,Archaea,Finished,zzz,Methanothermobacter marburgensis Marburg DSM 2133,648028041,79929,51637,40103,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,marburgensis,str. Marburg,Georg-August-University Goettingen|Goettingen Genomics Laboratory,,Gc01359,Free living,,,,,None,"Lithotroph, Lithoautotroph, Autotroph",,,,,Free living,,Nonmotile,Methanogen,Obligate anaerobe,,,Nonsporulating,Thermophile,1639135,1806,2,182,10.08,572,31.67,375,20.76,178,9.86
638154510,Archaea,Finished,zzz,Methanothermobacter thermoautotrophicus Delta H,638154510,187420,57877,289,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,thermautotrophicus,str. Delta H,"Genome Therapeutics, Ohio State Univ",,Gc00009,Free living,,,,,None,"Lithotroph, Autotroph, Lithoautotroph",,,,,Free living,,Nonmotile,Methanogen,Obligate anaerobe,,,Nonsporulating,Thermophile,1751377,1893,2,191,10.09,587,31.01,383,20.23,216,11.41
648276687,Archaea,Draft,"CSP_787660, Methanoarchaea",Methanothermococcus okinawensis IH1,648276687,647113,51535,43653,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,okinawensis,IH1,DOE Joint Genome Institute,,Gi02044,,,,,,,,,,,,,,,,,,,,,1649669,1769,1,128,7.24,560,31.66,361,20.41,65,3.67
637000187,Archaea,Finished,zzz,"Natronomonas pharaonis Gabara, DSM 2160",637000187,348780,58435,15742,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronomonas,pharaonis,DSM 2160,"Max Planck Institute, Max-Planck Institute",,Gc00301,Free living,,,,,None,Phototroph,,,,,Free living,,Motile,,Aerobe,Alkaliphile,Halophile,,Mesophile,2749696,2895,1,567,19.59,838,28.95,546,18.86,245,8.46
641228499,Archaea,Finished,zzz,Nitrosopumilus maritimus SCM1,641228499,436308,58903,19265,Thaumarchaeota,Cenarchaea,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,maritimus,SCM1,DOE Joint Genome Institute,,Gc00694,Free living,,,Singles,Rod-shaped,None,"Chemolithoautotroph, Autotroph",,,,,Free living,,Nonmotile,Ammonia-oxidizer,Aerobe,,,,Mesophile,1645259,1842,1,227,12.32,528,28.66,329,17.86,166,9.01
638154512,Archaea,Finished,zzz,Picrophilus torridus DSM 9790,638154512,263820,58041,10641,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus,torridus,DSM 9790,"GenoMik Competence Network, Georg-August-Univ Goettingen, Goettingen Genomics Laboratory, TU Hamburg-Harburg",,Gc00190,Free living,,,,Coccus-shaped,None,Heterotroph,,,,,Free living,,,,Aerobe,Acidophile,,,Thermophile,1545895,1605,1,122,7.6,630,39.25,415,25.86,223,13.89
638154513,Archaea,Finished,zzz,Pyrobaculum aerophilum IM2,638154513,178306,57727,172,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,aerophilum,str. IM2,"CalTech, UCLA",,Gc00075,Free living,,,,Rod-shaped,None,Autotroph,,,,,Free living,,Motile,Nitrate reducer,Facultative,,,Nonsporulating,Hyperthermophile,2222430,2625,1,403,15.35,603,22.97,385,14.67,199,7.58
640427135,Archaea,Finished,Pyrobaculum,"Pyrobaculum arsenaticum PZ6, DSM 13514",640427135,340102,58409,15582,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,arsenaticum,DSM 13514,DOE Joint Genome Institute,,Gc00540,Free living,,,,Rod-shaped,None,"Chemolithotroph, Organotroph, Autotroph",,,,,Free living,,Motile,,Anaerobe,Non-Pathogen,,Nonsporulating,Hyperthermophile,2121076,2410,1,347,14.4,622,25.81,399,16.56,178,7.39
