RefSeq project ID,Project ID,NCBI Taxon ID,Organism Name,Super Kingdom,Group,Sequence Status,Genome Size,GC Content,Gram Stain,Shape,Arrangment,Endospores,Motility,Salinity,Oxygen Req,Habitat,Temp. range,Optimal temp.,Pathogenic in,Disease,Genbank accessions,Refseq accessions,KEGG ID,Has 1PFK,Has PPi PFK,Has ADP PFK,Has Any 1PFK,Has Rubisco,Has ZWF,Has 6PGL,Has Gluconate Dehydratase,Has EDD,Has Any Gluconate Dehydratase,Has EDA,Has Gluconokinase,Has Phosphoketolase
61639,29211,504474,Corynebacterium urealyticum DSM 7109,Bacteria,Actinobacteria,complete,2.36922,64.2,0,Rod,,No,No,,Aerobic,Host-associated,Mesophilic,0,Human,Urinary tract infection,AM942444,0,cur,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
41403,29549,526226,Gordonia bronchialis DSM 43247,Bacteria,Actinobacteria,complete,5.281,67,0,Rod,Filaments,,No,,Aerobic,Host-associated,Mesophilic,0,Human,"Septicemia, endocarditis, lung and wound infections","CP001802,CP001803",0,gbr,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
67253,63351,443218,Amycolicicoccus subflavus DQS3-9A1,Bacteria,Actinobacteria,complete,4.83,,,,,,,,,,,0,,,"CP002786,CP002787,CP002788",0,asd,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
61613,15691,561007,Mycobacterium abscessus ATCC 19977,Bacteria,Actinobacteria,complete,5.09017,64.1,0,Rod,Singles,No,No,,Aerobic,Multiple,Mesophilic,37,Human,"Lung, skin, and wound infections","CU458896,CU458745",0,mab,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
57693,88,243243,Mycobacterium avium 104,Bacteria,Actinobacteria,complete,5.47549,69,0,Rod,Singles,No,No,,Aerobic,Host-associated,Mesophilic,37,Mammal,Tuberculosis type pulmonary infections,CP000479,0,mav,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57699,91,262316,Mycobacterium avium subsp. paratuberculosis K-10,Bacteria,Actinobacteria,complete,4.82978,69.3,0,Rod,Singles,No,No,,Aerobic,Multiple,Mesophilic,37,Mammal,Paratuberculosis,AE016958,0,mpa,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
59421,15760,350054,Mycobacterium gilvum PYR-GCK,Bacteria,Actinobacteria,complete,5.962,67.7,0,Rod,,No,No,,,,Mesophilic,0,,,"CP000656,CP000658,CP000659,CP000657",0,mgi,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
59293,31271,561304,Mycobacterium leprae Br4923,Bacteria,Actinobacteria,complete,3.26807,57.8,0,Rod,,No,No,Non-halophilic,Aerobic,Host-associated,Mesophilic,37,Human,Leprosy,FM211192,0,mlb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57697,90,272631,Mycobacterium leprae TN,Bacteria,Actinobacteria,complete,3.2682,57.8,0,Rod,,No,No,Non-halophilic,Aerobic,Host-associated,Mesophilic,37,Human,Leprosy,AL450380,0,mle,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59423,16725,216594,Mycobacterium marinum M,Bacteria,Actinobacteria,complete,6.65983,65.7,0,Rod,Singles,No,No,,Aerobic,Multiple,Mesophilic,32,"Fish, Human","Tuberculosis-like infection in fish, Skin infection, arthritis in human","CP000854,CP000895",0,mmi,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
57701,92,246196,Mycobacterium smegmatis str. MC2 155,Bacteria,Actinobacteria,complete,7,67.4,0,Rod,,No,No,,Aerobic,Host-associated,Mesophilic,37,Human,Soft tissue lesions,CP000480,0,msm,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
67369,51513,875328,Mycobacterium sp. JDM601,Bacteria,Actinobacteria,complete,4.6,,,,,,,,,,,0,,,CP002329,0,mjd,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
58489,16079,164757,Mycobacterium sp. JLS,Bacteria,Actinobacteria,complete,6.04842,68.4,0,Rod,,,,Non-halophilic,,Multiple,Mesophilic,0,No,None,CP000580,0,mjl,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58491,16081,189918,Mycobacterium sp. KMS,Bacteria,Actinobacteria,complete,6.25723,68.2,0,Rod,,,,Non-halophilic,,Multiple,Mesophilic,0,No,None,"CP000518,CP000520,CP000519",0,mkm,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58465,15762,164756,Mycobacterium sp. MCS,Bacteria,Actinobacteria,complete,5.92052,68.4,0,Rod,,No,No,Non-halophilic,,,Mesophilic,0,No,None,"CP000384,CP000385",0,mmc,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
61403,28521,278137,Mycobacterium sp. Spyr1,Bacteria,Actinobacteria,complete,5.73,,0,Rod,,No,No,,Aerobic,Terrestrial,Mesophilic,0,,,"CP002385,CP002386,CP002387",0,msp,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
68839,68095,572418,Mycobacterium africanum GM041182,Bacteria,Actinobacteria,complete,4.4,,,,,,,,,,,0,,,FR878060,0,maf,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57695,89,233413,Mycobacterium bovis AF2122/97,Bacteria,Actinobacteria,complete,4.34549,65.6,0,Rod,Singles,No,No,,Aerobic,Host-associated,Mesophilic,37,"Human, Animal",Tuberculosis in cattle,BX248333,0,mbo,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58781,18059,410289,Mycobacterium bovis BCG str. Pasteur 1173P2,Bacteria,Actinobacteria,complete,4.37452,65.6,0,Rod,Singles,No,No,Non-halophilic,Aerobic,Host-associated,Mesophilic,0,Bovine,Bovine tuberculosis,AM408590,0,mbb,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59281,31211,561275,Mycobacterium bovis BCG str. Tokyo 172,Bacteria,Actinobacteria,complete,4.37171,65.6,0,Rod,Singles,No,No,Non-halophilic,Aerobic,Host-associated,Mesophilic,0,Human,,AP010918,0,mbt,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57775,223,83331,Mycobacterium tuberculosis CDC1551,Bacteria,Actinobacteria,complete,4.40384,65.6,0,Rod,Singles,No,No,,Aerobic,Host-associated,Mesophilic,37,Human,Tuberculosis,AE000516,0,mtc,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58417,15642,336982,Mycobacterium tuberculosis F11,Bacteria,Actinobacteria,complete,4.42443,65.6,0,Rod,Singles,No,No,,Aerobic,Host-associated,Mesophilic,37,Human,Tuberculosis,CP000717,0,mtf,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58853,18883,419947,Mycobacterium tuberculosis H37Ra,Bacteria,Actinobacteria,complete,4.4,65.6,0,Rod,,No,No,Non-halophilic,Aerobic,Host-associated,,37,Human,Tuberculosis (attenuated),CP000611,0,mra,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57777,224,83332,Mycobacterium tuberculosis H37Rv,Bacteria,Actinobacteria,complete,4.4,65.6,0,Rod,Singles,No,No,,Aerobic,Host-associated,Mesophilic,37,Human,Tuberculosis,AL123456,0,mtu,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59069,21055,478434,Mycobacterium tuberculosis KZN 1435,Bacteria,Actinobacteria,complete,4.4,65.6,0,Rod,Singles,No,Yes,,Aerobic,Host-associated,Mesophilic,37,Human,Tuberculosis,CP001658,0,mtb,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62939,16230,362242,Mycobacterium ulcerans Agy99,Bacteria,Actinobacteria,complete,5.80161,65.4,0,Rod,Singles,No,No,Non-halophilic,Aerobic,Host-associated,Mesophilic,32,Human,Buruli ulcer,CP000325,0,mul,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58463,15761,350058,Mycobacterium vanbaalenii PYR-1,Bacteria,Actinobacteria,complete,6.5,67.8,0,Rod,Singles,No,No,,Aerobic,,Mesophilic,24-37,,,CP000511,0,mva,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
58203,13117,247156,Nocardia farcinica IFM 10152,Bacteria,Actinobacteria,complete,6.29235,70.7,0,Rod,Filaments,Yes,No,Non-halophilic,Aerobic,Multiple,Mesophilic,37,"Human, Animal",Nocardiosis,"AP006618,AP006619,AP006620",0,nfa,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
60171,41335,685727,Rhodococcus equi 103S,Bacteria,Actinobacteria,complete,5,,0,Rod,,,,,Aerobic,Multiple,Mesophilic,0,"Human, Horses",Pneumonia,FN563149,0,req,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
59019,20395,234621,Rhodococcus erythropolis PR4,Bacteria,Actinobacteria,complete,6.8736,62.3,0,Rod,,,,,Aerobic,Multiple,Mesophilic,20,,,"AP008957,AP008932,AP008933,AP008931",0,rer,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
58325,13693,101510,Rhodococcus jostii RHA1,Bacteria,Actinobacteria,complete,9.69308,67,0,Coccus to filament,Branched filaments,No,No,Non-halophilic,Aerobic,Terrestrial,Mesophilic,30,,,"CP000431,CP000432,CP000433,CP000434",0,rha,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
13791,34839,632772,Rhodococcus opacus B4,Bacteria,Actinobacteria,complete,8.8172,67.6,0,,,,,,Aerobic,,,0,,,"AP011115,AP011117,AP011118,AP011120,AP011119,AP011116",0,rop,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
49049,37711,640132,Segniliparus rotundus DSM 44985,Bacteria,Actinobacteria,complete,3.2,68,0,Rod,,No,No,,Aerobic,,Mesophilic,0,,,CP001958,0,srt,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
48829,29399,521096,Tsukamurella paurometabola DSM 20162,Bacteria,Actinobacteria,complete,4.5,68.4,0,Rod,,No,No,,,Terrestrial,Mesophilic,0,Human,Rare infections,"CP001966,CP001967",0,tpr,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
58501,16097,351607,Acidothermus cellulolyticus 11B,Bacteria,Actinobacteria,complete,2.44354,66.9,0,,,Yes,,,Aerobic,Aquatic,Thermophilic,58,No,,CP000481,0,ace,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58695,17403,326424,Frankia alni ACN14a,Bacteria,Actinobacteria,complete,7.5,72.8,0,Branched septate hyphae,,,,Non-halophilic,,Host-associated,Mesophilic,0,No,None,CT573213,0,fal,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58397,13963,106370,Frankia sp. CcI3,Bacteria,Actinobacteria,complete,5.43363,70.1,0,,Filaments,,,,Aerobic,Multiple,Mesophilic,0,,,CP000249,0,fra,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58367,13915,298653,Frankia sp. EAN1pec,Bacteria,Actinobacteria,complete,9,71.2,0,,Filaments,,,,Aerobic,Multiple,Mesophilic,0,,,CP000820,0,fre,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
42615,37913,298654,Frankia sp. EuI1c,Bacteria,Actinobacteria,complete,8.8,72.3,0,,Filaments,Yes,,,Aerobic,Multiple,Mesophilic,0,No,,CP002299,0,fri,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
46257,39113,656024,Frankia symbiont of Datisca glomerata,Bacteria,Actinobacteria,complete,5.32,70.1,0,Filaments,,Yes,No,,Aerobic,,Mesophilic,0,,,"CP002801,CP002802,CP002803",0,fsy,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
43725,29547,526225,Geodermatophilus obscurus DSM 43160,Bacteria,Actinobacteria,complete,5.3,74,0,Coccus,Filaments,,No,,Aerobic,Terrestrial,Mesophilic,0,No,,CP001867,0,gob,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
59221,29537,479431,Nakamurella multipartita DSM 44233,Bacteria,Actinobacteria,complete,6.0603,70.9,0,Coccus,,,,,,Terrestrial,Mesophilic,0,No,,CP001737,0,nml,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
46663,19713,446470,Stackebrandtia nassauensis DSM 44728,Bacteria,Actinobacteria,complete,6.8,68.1,0,Branched,,,No,,Aerobic,,,0,,,CP001778,0,sna,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
58067,10689,266940,Kineococcus radiotolerans SRS30216,Bacteria,Actinobacteria,complete,4.95418,74.2,0,Coccus,"Singles, Clusters",No,Yes,,Aerobic,Multiple,Mesophilic,32,No,None,"CP000750,CP000751,CP000752",0,kra,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
59047,20827,471853,Beutenbergia cavernae DSM 12333,Bacteria,Actinobacteria,complete,4.66918,73.1,0,Rod,"Singles, Chains, Clusters",No,No,,Aerobic,Terrestrial,Mesophilic,0,No,,CP001618,0,bcv,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
66779,33691,590998,Cellulomonas fimi ATCC 484,Bacteria,Actinobacteria,complete,4.3,,0,Rod,,No,Yes,,Aerobic,Terrestrial,Mesophilic,0,,,CP002666,0,cfi,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
48821,19707,446466,Cellulomonas flavigena DSM 20109,Bacteria,Actinobacteria,complete,4.1,74.1,0,Rod,,,Yes,,Facultative,Terrestrial,Mesophilic,0,No,None,CP001964,0,cfl,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
58649,17026,446465,Brachybacterium faecium DSM 4810,Bacteria,Actinobacteria,complete,3.6,72,0,Rod,,,No,,Aerobic,Terrestrial,,0,No,None,CP001643,0,bfa,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
59071,21067,478801,Kytococcus sedentarius DSM 20547,Bacteria,Actinobacteria,complete,2.8,71.6,0,Sphere,Tetrads,No,No,Non-halophilic,Aerobic,,Mesophilic,0,,,CP001686,0,kse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
61729,43527,710696,Intrasporangium calvum DSM 43043,Bacteria,Actinobacteria,complete,4,,0,Filament,,Yes,No,,Aerobic,,Mesophilic,0,,,CP002343,0,ica,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
59053,20833,471856,Jonesia denitrificans DSM 20603,Bacteria,Actinobacteria,complete,2.74965,58.4,0,,,No,Yes,,Facultative,,,37,,,CP001706,0,jde,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
61625,19643,443906,Clavibacter michiganensis subsp. michiganensis NCPPB 382,Bacteria,Actinobacteria,complete,3.4,72.5,0,Rod,"Singles, Pairs",No,No,,Aerobic,Multiple,Mesophilic,25-28,Tomato,Tomato bacterial wilt and canker,"AM711867,AM711865,AM711866",0,cmi,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
61577,184,31964,Clavibacter michiganensis subsp. sepedonicus,Bacteria,Actinobacteria,complete,3.40365,72.4,0,Rod,"Singles, Pairs",No,No,,Aerobic,Multiple,Mesophilic,25-28,Plant,"Wilt and Tuber Rot, Ring Rot","AM849034,AM849036,AM849035",0,cms,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57759,212,281090,Leifsonia xyli subsp. xyli str. CTCB07,Bacteria,Actinobacteria,complete,2.58416,67.7,0,Rod,"Singles, Pairs",No,No,,Aerobic,Host-associated,Mesophilic,20-25,Plant,Ratoon stunting disease,AE016822,0,lxx,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62789,62249,979556,Microbacterium testaceum StLB037,Bacteria,Actinobacteria,complete,4,,,,,,,,,,,0,,,AP012052,0,mts,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
53509,50353,861360,Arthrobacter arilaitensis Re117,Bacteria,Actinobacteria,complete,3.9585,,,,,,,,,,,0,,,"FQ311476,FQ311875,FQ311475",0,aai,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58109,12512,290340,Arthrobacter aurescens TC1,Bacteria,Actinobacteria,complete,5.23,62.4,0,"Rod, Coccus",,No,Yes,Non-halophilic,Aerobic,Terrestrial,Mesophilic,30,No,None,"CP000474,CP000476,CP000475",0,aau,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
58969,20011,452863,Arthrobacter chlorophenolicus A6,Bacteria,Actinobacteria,complete,4.99,66,0,"Rod, Coccus",,No,Yes,,Aerobic,Terrestrial,Mesophilic,0,No,,"CP001341,CP001343,CP001342",0,ach,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
