Pathway Genes Missing,taxon_oid,Domain,Status,Proposal Name,Genome Name,Taxon Object ID,NCBI Taxon ID,RefSeq Project ID,GenBank Project ID,Phylum,Class,Order,Family,Genus,Species,Strain,Sequencing Center,Funding Agency,Add Date,Is Public,IMG Release,IMG Product Assignment,IMG Submission ID,GOLD ID,Biotic Relationships,Body Site,Body Subsite,Cell Arrangement,Cell Shape,Diseases,Energy Source,Energy Category,Ecosystem,Ecosystem Category,Ecosystem Type,Ecosystem Subtype,Isolation,Specific Ecosystem,Gram Staining,Host Name,Host Gender,Motility,Metabolism,Oxygen Requirement,Broad Oxygen Requirement,Phenotype,Relevance,Salinity,Sporulation,Temperature Range,IMG Sample Id,IMG Project Id,Scaffold Count,CRISPR Count,GC Count,GC %,Coding Base Count,Genome Size,Gene Count,CDS Count,CDS %,RNA Count,rRNA Count,5S rRNA Count,16S rRNA Count,18S rRNA Count,23S rRNA Count,28S rRNA Count,tRNA Count,Other RNA Count,Fused Count,Fused %,Fusion Component Count,Fusion component %,Pseudo Count,Pseudo %,Unchar Count,Unchar %,Obsolete Count,Obsolete %,Revised Count,Revised %,w/ Func Pred Count,w/ Func Pred %,w/o Func Pred Sim Count,w/o Func Pred Sim %,w/o Func Pred No Sim Count,w/o Func Pred No Sim %,Signal Peptide Count,Signal Peptide %,Transmembrane Count,Transmembrane %,Orthologs Count,Orthologs %`,Paralogs Count,Paralogs %,Ortholog Group Count,Paralog Group Count,SwissProt Count,SwissProt %,Not SwissProt Count,Not SwissProt %,SEED Count,SEED %,Not SEED Count,Not SEED %,COG Count,COG %,KOG Count,KOG %,Pfam Count,Pfam %,TIGRfam Count,TIGRfam %,COG Cluster Count,KOG Cluster Count,Pfam Cluster Count,TIGRfam Cluster Count,InterPro Count,InterPro %,Enzyme Count,Enzyme %,TC Count,TC %,KEGG Count,KEGG %,Not KEGG Count,Not KEGG %,KO Count,KO %,Not KO Count,Not KO %,MetaCyc Count,MetaCyc %,Not MetaCyc Count,Not MetaCyc %,IMG Term Count,IMG Term %,IMG Pathwawy Count,IMG Pathway %,IMG Parts List Count,IMG Parts List %,Chromosomal Cassette Gene Count,Chromosomal Cassette Gene %,Chromosomal Cassette Count,KEGG Organism ID,Has ATP 6PFK,Has Ppi 6PFK,Has ADP 6PFK,Has ATP 1PFK,Has Any 6PFK,Has EDD,Has EDA,Has ED Genes,1.2.7.1,4.1.3.24,1.1.1.82,4.1.1.1,6.2.1.9,1.1.1.37
3,641228491,Bacteria,Finished,"Dinoroseobacter shibae DFL-12, DSM 16493","Dinoroseobacter shibae DFL-12, DSM 16493",641228491,398580,58707,17417,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Dinoroseobacter,shibae,DFL 12,DOE Joint Genome Institute,zzz,2008-02-07,Yes,IMG/W 2.5,zzz,zzz,Gc00659,Free living,zzz,zzz,zzz,Rod-shaped,None,Phototroph,Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Aerobe,Aerobe,Anoxygenic,Comparative analysis,zzz,zzz,Mesophile,zzz,10026,6,2,2894792,0.66,3970632,4417868,4271,4219,98.78,52,6,2,2,zzz,2,zzz,44,2,347,8.12,2139,50.08,33,0.77,zzz,zzz,zzz,zzz,zzz,zzz,2538,59.42,1665,38.98,16,0.37,1052,24.63,1029,24.09,4134,96.79,768,17.98,3510,308,275,6.44,3944,92.34,4187,98.03,32,0.75,3173,74.29,1388,32.5,3403,79.68,1234,28.89,1768,729,1840,1047,3724,87.19,1119,26.2,706,16.53,1320,30.91,2899,67.88,2225,52.1,1994,46.69,860,20.14,3359,78.65,934,21.87,290,6.79,314,7.35,4191,98.13,311,dsh,True,False,False,False,True,True,True,True,False,False,False,False,True,True
3,638154502,Archaea,Finished,"Archaeoglobus fulgidus VC-16, DSM 4304","Archaeoglobus fulgidus VC-16, DSM 4304",638154502,224325,57717,104,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,fulgidus,DSM 4304,"J. Craig Venter Institute, Univ of Illinois at Urbana-Champaign",DOE,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00011,Free living,zzz,zzz,zzz,zzz,None,Chemolithoautotroph,Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,Sulfate reducer,Obligate anaerobe,Anaerobe,"Piezophile, Potential Pathogen",Biotechnological,zzz,zzz,Hyperthermophile,zzz,10675,1,3,1058303,0.49,1995436,2178400,2519,2468,97.98,51,3,1,1,zzz,1,zzz,46,2,171,6.79,1001,39.74,71,2.82,zzz,zzz,48,2,292,12,1798,71.38,666,26.44,4,0.16,272,10.8,488,19.37,2377,94.36,431,17.11,1988,165,332,13.18,2136,84.8,1735,68.88,733,29.1,1918,76.14,854,33.9,1924,76.38,701,27.83,1260,549,1175,606,2153,85.47,633,25.13,269,10.68,722,28.66,1746,69.31,1321,52.44,1147,45.53,467,18.54,2001,79.44,676,26.84,228,9.05,227,9.01,2394,95.04,111,afu,False,False,False,False,False,False,False,False,True,False,False,False,False,True
3,637000267,Bacteria,Finished,Ruegeria pomeroyi DSS-3,Ruegeria pomeroyi DSS-3,637000267,246200,57863,281,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,pomeroyi,DSS-3,"J. Craig Venter Institute, Univ of Georgia",NSF,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00242,Free living,zzz,zzz,zzz,Rod-shaped,None,Heterotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Aerobe,Aerobe,Sulfur cycle,Environmental,zzz,zzz,Mesophile,zzz,10443,2,zzz,2947878,0.64,4139174,4601053,4355,4283,98.35,72,9,3,3,zzz,3,zzz,53,10,416,9.55,2386,54.79,31,0.71,zzz,zzz,zzz,zzz,zzz,zzz,3124,71.73,1138,26.13,21,0.48,912,20.94,943,21.65,4178,95.94,684,15.71,3624,263,370,8.5,3913,89.85,4252,97.63,31,0.71,3399,78.05,1575,36.17,3576,82.11,1239,28.45,1744,743,1792,1037,3878,89.05,1254,28.79,708,16.26,1455,33.41,2828,64.94,2342,53.78,1941,44.57,967,22.2,3316,76.14,1146,26.31,360,8.27,442,10.15,4283,98.35,244,sil,False,False,False,False,False,True,True,True,False,False,False,False,True,True
3,641380423,Bacteria,Draft,Roseobacter litoralis Och 149,Roseobacter litoralis Och 149,641380423,391595,54719,19357,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,litoralis,Och 149,"ICBM, J. Craig Venter Institute",zzz,2008-02-07,Yes,IMG/W 2.5,zzz,zzz,Gc01918,Free living,zzz,zzz,zzz,Rod-shaped,None,"Phototroph, Photosynthetic",Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Aerobe,Aerobe,zzz,"Environmental, Biotechnological, Marine Microbial Initiative (MMI), Marine Microbial Initiative (MMI)",zzz,zzz,Mesophile,zzz,11196,27,zzz,2678890,0.57,4209419,4678915,4789,4746,99.1,43,3,1,1,zzz,1,zzz,40,zzz,370,7.73,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,3152,65.82,1428,29.82,166,3.47,935,19.52,1051,21.95,4547,94.95,666,13.91,3879,245,zzz,zzz,4746,99.1,41,0.86,4705,98.25,3426,71.54,1510,31.53,3645,76.11,1225,25.58,1741,740,1815,1016,3937,82.21,1190,24.85,788,16.45,1430,29.86,3316,69.24,2346,48.99,2400,50.11,902,18.83,3844,80.27,876,18.29,241,5.03,280,5.85,4730,98.77,324,rli,False,False,False,False,False,True,True,True,False,True,False,False,False,True
3,638154506,Archaea,Finished,Methanococcus maripaludis S2,Methanococcus maripaludis S2,638154506,267377,58035,10632,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,maripaludis,S2,Univ of Washington- Seattle,NIGMS/NIH,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00177,Free living,zzz,zzz,Singles,Coccus-shaped,None,"Lithotroph, Chemolithoautotroph",Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,"Hydrogenotrophic, Methanogen, Nitrogen fixation",Obligate anaerobe,Anaerobe,zzz,"Energy production, Biotechnological",zzz,Nonsporulating,Mesophile,zzz,10509,1,zzz,549842,0.33,1532369,1661137,1777,1728,97.24,49,10,4,3,zzz,3,zzz,36,3,100,5.63,745,41.92,7,0.39,zzz,zzz,10,1,1633,92,1034,58.19,694,39.05,zzz,zzz,139,7.82,403,22.68,1717,96.62,195,10.97,1575,86,30,1.69,1698,95.55,88,4.95,1640,92.29,1417,79.74,631,35.51,1433,80.64,630,35.45,1125,472,1106,603,1645,92.57,512,28.81,184,10.35,579,32.58,1149,64.66,991,55.77,737,41.47,366,20.6,1362,76.65,601,33.82,201,11.31,175,9.85,1745,98.2,80,mmp,False,False,True,False,True,False,False,False,True,False,False,False,False,True
3,648028006,Bacteria,Finished,Amycolatopsis mediterranei U32,Amycolatopsis mediterranei U32,648028006,749927,50565,46889,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,mediterranei,U32,Chinese National Human Genome Center at Shanghai,zzz,2010-10-29,Yes,IMG/W 3.3,zzz,zzz,Gc01317,zzz,zzz,zzz,zzz,zzz,zzz,,,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,,,zzz,"Biotechnological, Antibiotic production, Pharmaceutical",zzz,zzz,zzz,zzz,16974,1,2,7298040,0.71,9142111,10236715,9292,9228,99.31,64,12,4,4,zzz,4,zzz,52,zzz,365,3.93,4387,47.21,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,6431,69.21,2515,27.07,282,3.03,3019,32.49,2118,22.79,8762,94.3,2652,28.54,5977,941,2,0.02,9226,99.29,21,0.23,9207,99.09,6213,66.86,3007,32.36,7051,75.88,1782,19.18,1799,875,2011,1111,7717,83.05,1537,16.54,881,9.48,1676,18.04,7552,81.27,2773,29.84,6455,69.47,1135,12.21,8093,87.1,218,2.35,64,0.69,76,0.82,9158,98.56,743,amd,True,False,False,True,True,True,True,True,False,True,False,False,False,True
3,640753037,Bacteria,Finished,Nitratiruptor sp. SB155-2,Nitratiruptor sp. SB155-2,640753037,387092,58861,18963,Proteobacteria,Epsilonproteobacteria,unclassified,unclassified,Nitratiruptor,sp.,SB155-2,JAMSTEC,MEXT,2007-10-09,Yes,IMG/W 2.4,zzz,zzz,Gc00619,Free living,zzz,zzz,zzz,Rod-shaped,None,Chemolithoautotroph,Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Nonmotile,zzz,Anaerobe,Anaerobe,zzz,Environmental,zzz,zzz,Thermophile,zzz,10066,1,zzz,745325,0.4,1776811,1877931,1912,1854,96.97,58,9,3,3,zzz,3,zzz,45,4,139,7.27,870,45.5,11,0.58,zzz,zzz,zzz,zzz,zzz,zzz,1166,60.98,686,35.88,2,0.1,335,17.52,438,22.91,1835,95.97,97,5.07,1710,44,241,12.6,1613,84.36,1643,85.93,211,11.04,1458,76.26,704,36.82,1516,79.29,759,39.7,1138,513,1215,730,1633,85.41,621,32.48,245,12.81,700,36.61,1154,60.36,1120,58.58,734,38.39,455,23.8,1399,73.17,474,24.79,188,9.83,155,8.11,1894,99.06,58,nis,True,False,False,False,True,False,False,False,True,False,False,False,False,True
3,648028043,Bacteria,Finished,Human Microbiome Project (HMP) Reference Genomes,Mobiluncus curtisii ATCC 43063,648028043,548479,49695,31519,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,curtisii,ATCC 43063,BCM-HGSC,zzz,2010-10-29,Yes,IMG/W 3.3,zzz,zzz,Gc01434,Free living,Urogenital tract,Vaginal,zzz,Rod-shaped,zzz,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram+,Homo sapiens,Female,zzz,zzz,Anaerobe,Anaerobe,zzz,"Human Microbiome Project (HMP), Medical",zzz,zzz,Mesophile,zzz,13401,1,1,1189435,0.55,1940489,2146480,1965,1909,97.15,56,6,2,2,zzz,2,zzz,46,4,126,6.41,657,33.44,zzz,zzz,zzz,zzz,zzz,zzz,6,zzz,1328,67.58,553,28.14,28,1.42,517,26.31,483,24.58,1843,93.79,89,4.53,1709,35,zzz,zzz,1909,97.15,1,0.05,1908,97.1,1337,68.04,671,34.15,1438,73.18,645,32.82,1007,464,1135,632,1538,78.27,400,20.36,259,13.18,469,23.87,1440,73.28,737,37.51,1172,59.64,289,14.71,1620,82.44,448,22.8,167,8.5,144,7.33,1949,99.19,124,mcu,True,True,False,True,True,False,True,False,True,False,False,False,False,True
3,637000010,Bacteria,Finished,Aquifex aeolicus VF5,Aquifex aeolicus VF5,637000010,224324,57765,215,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,aeolicus,VF5,"Diversa, Univ of Illinois at Urbana-Champaign","DOE, Diversa",2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00013,Free living,zzz,zzz,zzz,zzz,None,Chemolithoautotroph,Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Nonmotile,zzz,Facultative,Facultative,zzz,Biotechnological,zzz,zzz,Hyperthermophile,zzz,10673,2,6,688838,0.43,1476070,1590791,1613,1560,96.71,53,6,2,2,zzz,2,zzz,44,3,116,7.19,833,51.64,zzz,zzz,zzz,zzz,zzz,zzz,1,zzz,882,54.68,677,41.97,1,0.06,185,11.47,298,18.47,1530,94.85,110,6.82,1436,52,756,46.87,804,49.85,1559,96.65,1,0.06,1346,83.45,685,42.47,1343,83.26,756,46.87,1084,513,1160,736,1438,89.15,606,37.57,200,12.4,667,41.35,893,55.36,1080,66.96,480,29.76,466,28.89,1094,67.82,604,37.45,229,14.2,192,11.9,1595,98.88,98,aae,True,False,False,False,True,False,False,False,True,False,False,False,False,True
3,637000135,Bacteria,Finished,Hyphomonas neptunium ATCC 15444,Hyphomonas neptunium ATCC 15444,637000135,228405,58433,15721,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,neptunium,ATCC 15444,"J. Craig Venter Institute, Univ of Georgia",NSF,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00428,Free living,zzz,zzz,Singles,Rod-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Aerobe,Aerobe,"Budding, Non-Pathogen",Biotechnological,zzz,zzz,Mesophile,zzz,10258,1,zzz,2294530,0.62,3351957,3705021,3577,3520,98.41,57,3,1,1,zzz,1,zzz,43,11,255,7.13,1750,48.92,15,0.42,zzz,zzz,zzz,zzz,zzz,zzz,2520,70.45,939,26.25,61,1.71,908,25.38,666,18.62,3335,93.23,323,9.03,3016,139,278,7.77,3242,90.63,2110,58.99,1410,39.42,2648,74.03,1312,36.68,2785,77.86,1011,28.26,1586,725,1682,915,3040,84.99,955,26.7,405,11.32,1028,28.74,2492,69.67,1749,48.9,1771,49.51,711,19.88,2809,78.53,820,22.92,291,8.14,340,9.51,3538,98.91,191,hne,False,False,False,False,False,True,True,True,False,True,False,False,False,True
3,646311943,Archaea,Finished,Methanobrevibacter ruminantium M1,Methanobrevibacter ruminantium M1,646311943,634498,45857,34681,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,ruminantium,M1,AgResearch,zzz,2010-02-26,Yes,IMG/W 3.1,zzz,zzz,Gc01203,Free living,Gastrointestinal tract,Rumen,"Chains, Pairs",Rod-shaped,None,Lithotroph,Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Bovine,zzz,Nonmotile,Methanogen,Anaerobe,Anaerobe,zzz,"Bioenergy, Biotechnological",zzz,zzz,Mesophile,zzz,12204,1,4,958732,0.33,2307477,2937203,2283,2217,97.11,66,8,4,2,zzz,2,zzz,58,zzz,144,6.31,903,39.55,5,0.22,zzz,zzz,zzz,zzz,zzz,zzz,1468,64.3,748,32.76,1,0.04,240,10.51,542,23.74,2112,92.51,343,15.02,1718,141,6,0.26,2211,96.85,zzz,zzz,2217,97.11,1469,64.35,716,31.36,1550,67.89,644,28.21,1076,496,1088,583,1722,75.43,501,21.94,185,8.1,574,25.14,1643,71.97,926,40.56,1291,56.55,377,16.51,1840,80.6,478,20.94,174,7.62,159,6.96,1965,86.07,482,mru,False,False,False,False,False,False,False,False,True,False,False,False,False,True
3,649633030,Bacteria,Finished,Candidatus Nitrospira defluvii,Candidatus Nitrospira defluvii,649633030,330214,51175,46433,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Candidatus Nitrospira,Nitrospira,defluvii,"Genoscope, Univ of Vienna",zzz,2011-03-26,Yes,IMG/W 3.4,zzz,zzz,Gc01487,Free living,zzz,zzz,zzz,zzz,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,zzz,Nitrite-oxidizer,,,zzz,Environmental,zzz,zzz,Mesophile,zzz,11588,1,zzz,2548227,0.59,3873411,4317083,4317,4268,98.86,49,3,1,1,zzz,1,zzz,46,zzz,285,6.6,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,2147,49.73,1313,30.41,808,18.72,1577,36.53,996,23.07,3897,90.27,127,2.94,3238,43,zzz,zzz,4268,98.86,zzz,zzz,4268,98.86,2795,64.74,1226,28.4,2824,65.42,1143,26.48,1587,679,1621,927,3188,73.85,809,18.74,384,8.9,893,20.69,3375,78.18,1570,36.37,2698,62.5,587,13.6,3681,85.27,494,11.44,197,4.56,156,3.61,4282,99.19,279,nde,True,False,False,False,True,False,False,False,True,False,False,False,False,True
3,646311919,Bacteria,Finished,Dehalococcoides sp. VS,Dehalococcoides sp. VS,646311919,311424,42393,18811,Chloroflexi,Dehalococcoidetes,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,sp.,VS,DOE Joint Genome Institute,zzz,2010-02-26,Yes,IMG/W 3.1,zzz,zzz,Gc01142,Free living,zzz,zzz,zzz,zzz,None,Chemolithotroph,Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,Dechlorinates Tetrachloroethene,Anaerobe,Anaerobe,zzz,"Biotechnological, Bioremediation, Environmental, Ecological",zzz,Nonsporulating,Mesophile,zzz,11275,1,zzz,668163,0.47,1283903,1413462,1489,1438,96.57,51,3,1,1,zzz,1,zzz,46,2,148,9.94,689,46.27,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,1078,72.4,360,24.18,zzz,zzz,185,12.42,334,22.43,1414,94.96,230,15.45,1203,68,zzz,zzz,1438,96.57,35,2.35,1403,94.22,1093,73.4,542,36.4,1103,74.08,615,41.3,808,397,922,548,1204,80.86,426,28.61,139,9.34,492,33.04,946,63.53,769,51.65,669,44.93,309,20.75,1129,75.82,299,20.08,93,6.25,121,8.13,1484,99.66,92,dev,False,False,False,True,False,False,False,False,True,False,False,False,False,True
3,637000090,Bacteria,Finished,Dehalococcoides sp. CBDB1,Dehalococcoides sp. CBDB1,637000090,255470,58413,15604,Chloroflexi,Dehalococcoidetes,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,sp.,CBDB1,"Max Planck Institute, Max-Planck Institute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deh,False,False,False,True,False,False,False,False,True,False,False,False,False,True
3,637000341,Bacteria,Finished,Wolinella succinogenes DSM 1740,Wolinella succinogenes DSM 1740,637000341,273121,61591,445,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Wolinella,succinogenes,DSM 1740,"Max Planck Institute, Max-Planck Institute",zzz,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00158,Free living,Gastrointestinal tract,Rumen,zzz,Spiral-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Cow,zzz,Motile,zzz,Anaerobe,Anaerobe,Non-Pathogen,Medical,zzz,zzz,Mesophile,zzz,10528,1,2,1022636,0.48,1994695,2110355,2098,2043,97.38,55,9,3,3,zzz,3,zzz,40,6,183,8.72,1008,48.05,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,1276,60.82,753,35.89,14,0.67,401,19.11,279,13.3,2011,95.85,178,8.48,1804,70,344,16.4,1699,80.98,2043,97.38,zzz,zzz,1639,78.12,717,34.18,1668,79.5,829,39.51,1179,476,1231,770,1821,86.8,634,30.22,333,15.87,763,36.37,1280,61.01,1249,59.53,794,37.85,463,22.07,1580,75.31,576,27.45,231,11.01,187,8.91,2097,99.95,56,wsu,True,False,False,False,True,False,False,False,True,False,False,False,False,True
