Pathway Genes Missing,taxon_oid,Domain,Status,Proposal Name,Genome Name,Taxon Object ID,NCBI Taxon ID,RefSeq Project ID,GenBank Project ID,Phylum,Class,Order,Family,Genus,Species,Strain,Sequencing Center,Funding Agency,Add Date,Is Public,IMG Release,IMG Product Assignment,IMG Submission ID,GOLD ID,Biotic Relationships,Body Site,Body Subsite,Cell Arrangement,Cell Shape,Diseases,Energy Source,Energy Category,Ecosystem,Ecosystem Category,Ecosystem Type,Ecosystem Subtype,Isolation,Specific Ecosystem,Gram Staining,Host Name,Host Gender,Motility,Metabolism,Oxygen Requirement,Broad Oxygen Requirement,Phenotype,Relevance,Salinity,Sporulation,Temperature Range,IMG Sample Id,IMG Project Id,Scaffold Count,CRISPR Count,GC Count,GC %,Coding Base Count,Genome Size,Gene Count,CDS Count,CDS %,RNA Count,rRNA Count,5S rRNA Count,16S rRNA Count,18S rRNA Count,23S rRNA Count,28S rRNA Count,tRNA Count,Other RNA Count,Fused Count,Fused %,Fusion Component Count,Fusion component %,Pseudo Count,Pseudo %,Unchar Count,Unchar %,Obsolete Count,Obsolete %,Revised Count,Revised %,w/ Func Pred Count,w/ Func Pred %,w/o Func Pred Sim Count,w/o Func Pred Sim %,w/o Func Pred No Sim Count,w/o Func Pred No Sim %,Signal Peptide Count,Signal Peptide %,Transmembrane Count,Transmembrane %,Orthologs Count,Orthologs %`,Paralogs Count,Paralogs %,Ortholog Group Count,Paralog Group Count,SwissProt Count,SwissProt %,Not SwissProt Count,Not SwissProt %,SEED Count,SEED %,Not SEED Count,Not SEED %,COG Count,COG %,KOG Count,KOG %,Pfam Count,Pfam %,TIGRfam Count,TIGRfam %,COG Cluster Count,KOG Cluster Count,Pfam Cluster Count,TIGRfam Cluster Count,InterPro Count,InterPro %,Enzyme Count,Enzyme %,TC Count,TC %,KEGG Count,KEGG %,Not KEGG Count,Not KEGG %,KO Count,KO %,Not KO Count,Not KO %,MetaCyc Count,MetaCyc %,Not MetaCyc Count,Not MetaCyc %,IMG Term Count,IMG Term %,IMG Pathwawy Count,IMG Pathway %,IMG Parts List Count,IMG Parts List %,Chromosomal Cassette Gene Count,Chromosomal Cassette Gene %,Chromosomal Cassette Count,KEGG Organism ID,Has ATP 6PFK,Has Ppi 6PFK,Has ADP 6PFK,Has ATP 1PFK,Has Any 6PFK,Has EDD,Has EDA,Has ED Genes,4.1.3.24,2.3.3.8,4.2.1.3,1.1.1.37,4.1.3.6,1.1.1.82,6.2.1.9,4.1.3.1,4.1.3.34
1,640753032,Bacteria,Finished,Klebsiella pneumoniae pneumoniae MGH78578,Klebsiella pneumoniae pneumoniae MGH78578,640753032,272620,57619,31,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,pneumoniae,subsp. pneumoniae MGH 78578,Washington Univ,NIAID,2007-10-09,Yes,IMG/W 2.4,zzz,zzz,Gc00609,Free living,zzz,zzz,"Chains, Pairs, Singles",Rod-shaped,"Urinary tract infection, Bacteremia, Pneumonia",,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,Male,Nonmotile,Lactose fermenting,Facultative,Facultative,Pathogen,"Human Pathogen, Medical, Animal Pathogen, Cattle Pathogen",zzz,zzz,Mesophile,zzz,10076,6,zzz,3254481,0.57,4918027,5694894,5377,5195,96.62,182,25,9,8,zzz,8,zzz,86,71,566,10.53,2752,51.18,8,0.15,zzz,zzz,1,zzz,zzz,zzz,4010,74.58,1160,21.57,25,0.46,1046,19.45,1257,23.38,5142,95.63,1293,24.05,4232,491,706,13.13,4489,83.49,3528,65.61,1667,31,4278,79.56,1679,31.23,4587,85.31,1926,35.82,2172,764,2282,1536,4786,89.01,1557,28.96,1039,19.32,1721,32.01,3474,64.61,3225,59.98,1970,36.64,1063,19.77,4132,76.85,1498,27.86,509,9.47,438,8.15,5255,97.73,586,kpn,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,642555159,Bacteria,Finished,Salmonella enterica sv Schwarzengrund CVM19633,Salmonella enterica sv Schwarzengrund CVM19633,642555159,439843,58915,19459,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,subsp. enterica serovar Schwarzengrund str. CVM19633,J. Craig Venter Institute,zzz,2008-09-20,Yes,IMG/W 2.7,zzz,zzz,Gc00842,Free living,zzz,zzz,"Pairs, Singles",Rod-shaped,"Gastroenteritis, Salmonellosis, Food poisoning",Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,Nontyphoidal,"Medical, Human Pathogen",zzz,Nonsporulating,Mesophile,zzz,11777,3,2,2518601,0.52,4133064,4823887,4730,4627,97.82,103,19,8,7,zzz,4,zzz,84,zzz,408,8.63,2107,44.55,zzz,zzz,zzz,zzz,zzz,zzz,2,zzz,3797,80.27,799,16.89,31,0.66,946,20,1102,23.3,4560,96.41,792,16.74,4091,330,709,14.99,3918,82.83,4338,91.71,289,6.11,3503,74.06,1361,28.77,3833,81.04,1720,36.36,2112,735,2281,1464,4006,84.69,1304,27.57,786,16.62,1466,30.99,3161,66.83,2762,58.39,1865,39.43,899,19.01,3728,78.82,1250,26.43,482,10.19,332,7.02,4634,97.97,482,sew,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,643348572,Bacteria,Finished,Salmonella enterica enterica sv Enteritidis P125109,Salmonella enterica enterica sv Enteritidis P125109,643348572,550537,59247,30687,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,subsp. enterica serovar Enteritidis str. P125109,Sanger Institute,zzz,2009-02-11,Yes,IMG/W 2.8,zzz,zzz,Gc00833,Free living,zzz,zzz,"Singles, Pairs",Rod-shaped,"Salmonellosis, Gastroenteritis, Food poisoning",Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,Pathogen,"Human Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,11754,1,2,2444481,0.52,4042301,4685848,4312,4206,97.54,106,22,8,7,zzz,7,zzz,84,zzz,412,9.55,2119,49.14,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,3090,71.66,1114,25.83,2,0.05,924,21.43,1072,24.86,4196,97.31,751,17.42,3748,317,720,16.7,3486,80.84,3871,89.77,335,7.77,3499,81.15,1380,32,3803,88.2,1735,40.24,2108,737,2256,1468,3974,92.16,1336,30.98,777,18.02,1478,34.28,2728,63.27,2790,64.7,1416,32.84,929,21.54,3277,76,776,18,245,5.68,210,4.87,4200,97.4,476,set,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,637000012,Bacteria,Finished,Aromatoleum aromaticum EbN1,Aromatoleum aromaticum EbN1,637000012,76114,58231,13242,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,sp.,EbN1,"Max Planck Institute, Max-Planck Institute",Max Planck Society,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00232,Free living,zzz,zzz,Singles,Rod-shaped,None,Diazotroph,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,"Hydrocarbons metabolizer, Nitrate reducer, Denitrifying",Facultative,Facultative,zzz,"Bioremediation, Biotechnological, Agricultural",zzz,zzz,Mesophile,zzz,10454,3,5,3058421,0.65,4290096,4727255,4686,4599,98.14,87,12,4,4,zzz,4,zzz,58,17,414,8.83,2080,44.39,zzz,zzz,zzz,zzz,zzz,zzz,14,zzz,2676,57.11,1773,37.84,150,3.2,874,18.65,870,18.57,4214,89.93,845,18.03,3515,294,405,8.64,4194,89.5,4594,98.04,5,0.11,3121,66.6,1306,27.87,3343,71.34,1386,29.58,1717,696,1820,1138,3621,77.27,1124,23.99,467,9.97,1206,25.74,3393,72.41,2110,45.03,2489,53.12,817,17.43,3782,80.71,1004,21.43,374,7.98,310,6.62,4638,98.98,298,eba,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True
1,643348573,Bacteria,Finished,Salmonella enterica enterica sv Gallinarum 287/91,Salmonella enterica enterica sv Gallinarum 287/91,643348573,550538,59249,30689,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,subsp. enterica serovar Gallinarum str. 287/91,"PHLS, Sanger Institute",zzz,2009-02-11,Yes,IMG/W 2.8,zzz,zzz,Gc00832,Free living,zzz,zzz,"Singles, Pairs",Rod-shaped,"Food poisoning, Salmonellosis, Gastroenteritis",Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,Pathogen,"Human Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,11756,1,1,2432052,0.52,3756025,4658697,4062,3965,97.61,97,22,8,7,zzz,7,zzz,75,zzz,373,9.18,2018,49.68,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,2894,71.25,1071,26.37,zzz,zzz,862,21.22,998,24.57,3959,97.46,673,16.57,3555,291,682,16.79,3283,80.82,3681,90.62,284,6.99,3316,81.63,1327,32.67,3595,88.5,1680,41.36,2044,729,2192,1435,3753,92.39,1290,31.76,719,17.7,1431,35.23,2534,62.38,2679,65.95,1286,31.66,900,22.16,3065,75.46,695,17.11,219,5.39,187,4.6,3902,96.06,531,seg,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,643348504,Bacteria,Finished,Rhizobium rhizogenes K84,Rhizobium rhizogenes K84,643348504,311403,58269,13402,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,radiobacter,K84,Univ of Washington,zzz,2009-02-11,Yes,IMG/W 2.8,zzz,zzz,Gc00942,Free living,zzz,zzz,"Pairs, Singles",Rod-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Aerobe,Aerobe,Pathogen,"Plant Pathogen, Agricultural, Human Pathogen, Medical",zzz,zzz,Mesophile,zzz,10821,5,zzz,4354832,0.6,6360147,7273300,6744,6684,99.11,60,9,3,3,zzz,3,zzz,51,zzz,727,10.78,3894,57.74,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,4973,73.74,1619,24.01,92,1.36,1363,20.21,1569,23.27,6543,97.02,1812,26.87,5030,583,280,4.15,6404,94.96,360,5.34,6324,93.77,5461,80.98,2259,33.5,5658,83.9,1633,24.21,2062,795,2030,1174,5976,88.61,1611,23.89,1403,20.8,2213,32.81,4471,66.3,3570,52.94,3114,46.17,1194,17.7,5490,81.41,1423,21.1,321,4.76,455,6.75,6625,98.24,647,ara,False,True,False,False,True,True,True,True,False,False,True,True,True,False,False,True,True
1,642555157,Bacteria,Finished,Salmonella enterica sv Newport SL254,Salmonella enterica sv Newport SL254,642555157,423368,58831,18747,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,subsp. enterica serovar Newport str. SL254,J. Craig Venter Institute,zzz,2008-09-20,Yes,IMG/W 2.7,zzz,zzz,Gc00838,Free living,zzz,zzz,"Pairs, Singles",Rod-shaped,"Food poisoning, Gastroenteritis, Salmonellosis",Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,Nontyphoidal,"Human Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,11773,3,3,2615596,0.52,4310936,5007719,4913,4805,97.8,108,22,8,7,zzz,7,zzz,86,zzz,414,8.43,2194,44.66,zzz,zzz,zzz,zzz,zzz,zzz,3,zzz,3939,80.18,842,17.14,24,0.49,983,20.01,1143,23.26,4749,96.66,858,17.46,4225,366,711,14.47,4094,83.33,4531,92.22,274,5.58,3583,72.93,1394,28.37,3957,80.54,1773,36.09,2124,738,2320,1488,4134,84.14,1343,27.34,797,16.22,1486,30.25,3319,67.56,2827,57.54,1978,40.26,919,18.71,3886,79.1,1286,26.18,497,10.12,345,7.02,4818,98.07,479,see,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,644736362,Bacteria,Finished,Escherichia coli BW2952,Escherichia coli BW2952,644736362,595496,59391,33775,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,BW2952,Nankai Univ,zzz,2009-10-13,Yes,IMG/W 3.0,zzz,zzz,Gc01022,Free living,zzz,zzz,"Singles, Pairs",Rod-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Facultative,Facultative,Non-Pathogen,"Medical, Comparative analysis",zzz,Nonsporulating,Mesophile,zzz,14909,1,2,2325278,0.51,3931336,4578159,4194,4084,97.38,110,22,8,7,zzz,7,zzz,88,zzz,394,9.39,2069,49.33,2,0.05,zzz,zzz,zzz,zzz,zzz,zzz,3423,81.62,661,15.76,zzz,zzz,891,21.24,1017,24.25,4062,96.85,797,19,3590,315,764,18.22,3320,79.16,3989,95.11,95,2.27,3447,82.19,1381,32.93,3756,89.56,1694,40.39,2078,737,2287,1470,3932,93.75,1331,31.74,747,17.81,1400,33.38,2684,64,2819,67.22,1265,30.16,887,21.15,3197,76.23,850,20.27,221,5.27,269,6.41,4105,97.88,450,ebw,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,True
1,637000251,Bacteria,Finished,Salmonella enterica enterica sv Choleraesuis SC-B67,Salmonella enterica enterica sv Choleraesuis SC-B67,637000251,321314,58017,9618,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,subsp. enterica serovar Choleraesuis str. SC-B67,Chang Gung Univ,zzz,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00261,Free living,zzz,zzz,"Pairs, Singles",Rod-shaped,"Food poisoning, Swine paratyphoid, Gastroenteritis, Salmonellosis",Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,Male,Motile,zzz,Facultative,Facultative,Pathogen,"Animal Pathogen, Human Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,10424,3,2,2577430,0.52,4176840,4944000,4996,4782,95.72,214,22,8,7,zzz,7,zzz,85,107,426,8.53,2176,43.55,120,2.4,zzz,zzz,zzz,zzz,zzz,zzz,4136,82.79,636,12.73,10,0.2,971,19.44,1143,22.88,4751,95.1,876,17.53,4176,354,855,17.11,3927,78.6,4656,93.19,126,2.52,3513,70.32,1377,27.56,3980,79.66,1742,34.87,2106,734,2323,1467,4217,84.41,1317,26.36,781,15.63,1455,29.12,3327,66.59,2785,55.74,1997,39.97,902,18.05,3880,77.66,1295,25.92,501,10.03,357,7.15,4776,95.6,488,sec,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,644736359,Bacteria,Finished,Escherichia coli B REL606,Escherichia coli B REL606,644736359,413997,58803,18281,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,B str. REL606,"Genoscope, International E. coli B Consortium, KRIBB",zzz,2009-10-13,Yes,IMG/W 3.0,zzz,zzz,Gc01056,Free living,zzz,zzz,"Pairs, Singles",Rod-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Facultative,Facultative,Non-Pathogen,Medical,zzz,Nonsporulating,Mesophile,zzz,12151,1,3,2350528,0.51,4040395,4629812,4312,4205,97.52,107,22,8,7,zzz,7,zzz,85,zzz,409,9.49,2166,50.23,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,3414,79.17,789,18.3,2,0.05,886,20.55,1014,23.52,4181,96.96,862,19.99,3640,325,14,0.32,4191,97.19,3024,70.13,1181,27.39,3540,82.1,1402,32.51,3819,88.57,1715,39.77,2059,737,2237,1446,4012,93.04,1343,31.15,782,18.14,1421,32.95,2784,64.56,2848,66.05,1357,31.47,903,20.94,3302,76.58,888,20.59,256,5.94,271,6.28,4242,98.38,452,ebr,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,637000230,Bacteria,Finished,Cupriavidus metallidurans CH34,Cupriavidus metallidurans CH34,637000230,266264,57815,250,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,metallidurans,CH34,DOE Joint Genome Institute,DOE,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00374,Free living,zzz,zzz,Singles,Rod-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Aerobe,Aerobe,Metal resistant,"Environmental, Bioremediation",zzz,Nonsporulating,Mesophile,zzz,10312,4,zzz,4392121,0.64,6152553,6913352,6430,6340,98.6,90,12,2,4,zzz,6,zzz,62,16,681,10.59,3589,55.82,21,0.33,zzz,zzz,zzz,zzz,zzz,zzz,4747,73.83,1560,24.26,33,0.51,1568,24.39,1514,23.55,6170,95.96,1753,27.26,4800,585,399,6.21,5941,92.4,6302,98.01,38,0.59,4864,75.65,1981,30.81,5081,79.02,1707,26.55,2030,808,2106,1270,5523,85.89,1552,24.14,1054,16.39,1806,28.09,4534,70.51,3094,48.12,3246,50.48,1170,18.2,5170,80.4,1601,24.9,449,6.98,747,11.62,6317,98.24,511,rme,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,True
1,647000310,Bacteria,Draft,Saccharopolyspora erythraea NRRL 2338,Saccharopolyspora erythraea NRRL 2338,647000310,405948,54491,17885,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharopolyspora,erythraea,NRRL 2338,"Aventis, Istituto Tecnologie Biomediche, MWG-Biotech",zzz,2010-06-24,Yes,IMG/W 3.2,zzz,zzz,Gi00714,Free living,zzz,zzz,zzz,Filament-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram+,zzz,zzz,Nonmotile,zzz,Aerobe,Aerobe,zzz,"Erythromycin production, Biotechnological, Antibiotic production",zzz,Sporulating,Mesophile,zzz,11741,241,3,5754326,0.71,6751659,8079083,7356,7305,99.31,51,1,1,zzz,zzz,zzz,zzz,50,zzz,646,8.78,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,1,zzz,4978,67.67,2207,30,120,1.63,1412,19.2,1527,20.76,6865,93.33,1753,23.83,5087,667,zzz,zzz,7305,99.31,2592,35.24,4713,64.07,4899,66.6,2494,33.9,5422,73.71,1514,20.58,1747,839,1916,1084,6341,86.2,1581,21.49,788,10.71,1695,23.04,5610,76.26,2746,37.33,4559,61.98,1201,16.33,6104,82.98,976,13.27,299,4.06,386,5.25,7032,95.6,1025,sen,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,643692035,Bacteria,Finished,Salmonella enterica Paratyphi C RKS4594,Salmonella enterica Paratyphi C RKS4594,643692035,476213,59063,20993,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica subsp. enterica serovar Paratyphi C,strain RKS4594,Peking Univ,zzz,2009-06-09,Yes,IMG/W 2.9,zzz,zzz,Gc00964,Free living,zzz,zzz,"Pairs, Singles",Rod-shaped,"Gastroenteritis, Paratyphoid fever, Food poisoning, Salmonellosis",Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,Pathogen,"Human Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,11751,2,2,2550322,0.52,4136841,4888494,4743,4639,97.81,104,22,8,7,zzz,7,zzz,82,zzz,392,8.26,2064,43.52,zzz,zzz,zzz,zzz,zzz,zzz,3,zzz,3285,69.26,1341,28.27,13,0.27,918,19.35,1101,23.21,4598,96.94,770,16.23,4111,322,600,12.65,4039,85.16,2804,59.12,1835,38.69,3475,73.27,1357,28.61,3847,81.11,1741,36.71,2075,730,2317,1483,4058,85.56,1302,27.45,771,16.26,1463,30.85,3176,66.96,2745,57.87,1894,39.93,901,19,3738,78.81,722,15.22,223,4.7,188,3.96,4638,97.79,487,sei,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,642555156,Bacteria,Finished,"Salmonella enterica sv Heidelberg SL476, CVM30485","Salmonella enterica sv Heidelberg SL476, CVM30485",642555156,454169,58973,20045,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,subsp. enterica serovar Heidelberg str. SL476,J. Craig Venter Institute,zzz,2008-09-20,Yes,IMG/W 2.7,zzz,zzz,Gc00839,Free living,zzz,zzz,"Pairs, Singles",Rod-shaped,"Gastroenteritis, Salmonellosis, Food poisoning",Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,Nontyphoidal,"Medical, Human Pathogen",zzz,Nonsporulating,Mesophile,zzz,11767,3,2,2594228,0.52,4266449,4983515,4884,4779,97.85,105,19,8,7,zzz,4,zzz,86,zzz,414,8.48,2154,44.1,1,0.02,zzz,zzz,zzz,zzz,1,zzz,3950,80.88,815,16.69,14,0.29,966,19.78,1135,23.24,4714,96.52,814,16.67,4214,342,710,14.54,4069,83.31,4508,92.3,271,5.55,3565,72.99,1386,28.38,3919,80.24,1741,35.65,2124,741,2310,1471,4120,84.36,1335,27.33,793,16.24,1487,30.45,3292,67.4,2814,57.62,1965,40.23,917,18.78,3862,79.07,1294,26.49,501,10.26,347,7.1,4779,97.85,483,seh,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,643692053,Bacteria,Finished,Vibrio cholerae M66-2,Vibrio cholerae M66-2,643692053,579112,59355,32851,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,cholerae,M66-2,Nakai Univ,zzz,2009-06-09,Yes,IMG/W 2.9,zzz,zzz,Gc00986,Free living,zzz,zzz,Singles,Curved-shaped,"Food poisoning, Cholera",Heterotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,Pathogen,"Medical, Human Pathogen",zzz,Nonsporulating,Mesophile,zzz,14324,2,zzz,1875724,0.48,3500241,3938905,3812,3693,96.88,119,22,8,7,zzz,7,zzz,97,zzz,320,8.39,1688,44.28,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,2413,63.3,1280,33.58,zzz,zzz,778,20.41,926,24.29,3599,94.41,451,11.83,3309,187,431,11.31,3262,85.57,3121,81.87,572,15.01,2884,75.66,1166,30.59,3053,80.09,1395,36.59,1886,684,1995,1226,3188,83.63,1016,26.65,576,15.11,1231,32.29,2462,64.59,2241,58.79,1452,38.09,690,18.1,3003,78.78,490,12.85,90,2.36,198,5.19,3780,99.16,299,vcm,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,640427137,Bacteria,Finished,"Rhizobium etli CFN 42, DSM 11541","Rhizobium etli CFN 42, DSM 11541",640427137,347834,58377,13932,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,etli,CFN 42,UNAM,zzz,2007-06-28,Yes,IMG/W 2.3,zzz,zzz,Gc00342,Symbiotic,Plant-root,zzz,Singles,Rod-shaped,None,,,zzz,zzz,zzz,zzz,Symbiotic,zzz,Gram-,Phaseolus vulgaris,zzz,Motile,Nitrogen fixation,Aerobe,Aerobe,zzz,"Agricultural, Biotechnological, Root Nodulating Bacteria (RNB)",zzz,Nonsporulating,Mesophile,zzz,10344,7,zzz,3985289,0.61,5610222,6530228,6109,6030,98.71,79,9,3,3,zzz,3,zzz,50,20,562,9.2,3297,53.97,67,1.1,zzz,zzz,zzz,zzz,zzz,zzz,4223,69.13,1775,29.06,32,0.52,1196,19.58,1317,21.56,5918,96.87,1354,22.16,4815,468,486,7.96,5544,90.75,1336,21.87,4694,76.84,4742,77.62,1978,32.38,4933,80.75,1500,24.55,2019,786,2028,1146,5286,86.53,1478,24.19,1028,16.83,1839,30.1,4191,68.6,3114,50.97,2916,47.73,1071,17.53,4959,81.18,1591,26.04,416,6.81,541,8.86,5861,95.94,656,ret,False,True,False,False,True,True,True,True,False,False,True,True,True,False,False,True,True
1,640427151,Bacteria,Finished,Vibrio cholerae O395,Vibrio cholerae O395,640427151,345073,58425,15667,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,cholerae,O395,J. Craig Venter Institute,zzz,2007-06-28,Yes,IMG/W 2.3,zzz,zzz,Gc00557,Free living,zzz,zzz,Singles,Curved-shaped,"Cholera, Food poisoning",,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,Pathogen,"Human Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,10128,2,zzz,1964499,0.48,3672144,4132319,4031,3876,96.15,155,25,8,8,zzz,9,zzz,96,34,322,7.99,1716,42.57,1,0.02,zzz,zzz,zzz,zzz,zzz,zzz,2401,59.56,1470,36.47,5,0.12,790,19.6,939,23.29,3834,95.11,584,14.49,3440,244,510,12.65,3366,83.5,3077,76.33,799,19.82,2967,73.6,1174,29.12,3192,79.19,1414,35.08,1940,683,2060,1243,3346,83.01,1025,25.43,587,14.56,1238,30.71,2638,65.44,2255,55.94,1621,40.21,691,17.14,3185,79.01,988,24.51,380,9.43,311,7.72,4000,99.23,342,vco,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,640427136,Bacteria,Finished,Ralstonia eutropha H16,Ralstonia eutropha H16,640427136,381666,62925,13603,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,eutropha,H16,"Georg-August-Univ Goettingen, Humboldt Univ, Berlin, Univ of Munster",BMBF,2007-06-28,Yes,IMG/W 2.3,zzz,zzz,Gc00414,Free living,zzz,zzz,zzz,Rod-shaped,None,"Chemoautotroph, Heterotroph",Both,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,Hydrogen oxidizer,Aerobe,Aerobe,zzz,"Biotechnological, Environmental, Bioplastic producer, Bioremediation",zzz,zzz,Mesophile,zzz,10272,3,zzz,4920037,0.66,6515793,7416678,6718,6629,98.68,89,15,5,5,zzz,5,zzz,61,13,746,11.1,4022,59.87,3,0.04,zzz,zzz,zzz,zzz,zzz,zzz,5081,75.63,1514,22.54,34,0.51,1583,23.56,1457,21.69,6485,96.53,2033,30.26,4950,677,461,6.86,6168,91.81,451,6.71,6178,91.96,5355,79.71,2300,34.24,5540,82.47,1842,27.42,2102,828,2154,1333,5915,88.05,1878,27.95,1121,16.69,2141,31.87,4488,66.81,3602,53.62,3027,45.06,1413,21.03,5216,77.64,1625,24.19,494,7.35,673,10.02,6596,98.18,634,reh,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,True
