,16S rRNA Count,Biotic Relationships,Body Site,Body Subsite,Cell Arrangement,Cell Shape,Class,Diseases,Domain,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Energy Source,Family,GOLD ID,GenBank Project ID,Gene Count,Genome Name,Genome Size,Genus,IMG Pathwawy Count,IMG Pathway %,IMG Submission ID,Isolation,KEGG %,KEGG Count,KEGG Organism ID,MetaCyc %,MetaCyc Count,Metabolism,Motility,NCBI Taxon ID,Name,Order,Oxygen Requirement,Paralogs %,Paralogs Count,Phenotype,Phylum,Proposal Name,RefSeq Project ID,Salinity,Sequencing Center,Species,Specific Ecosystem,Sporulation,Status,Strain,Taxon Object ID,Taxonomy ID,Temperature Range
,2,Free living,,,,Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Obligate chemoautolithotroph,Acidithiobacillaceae,Gc00911,53,3234,Acidithiobacillus ferrooxidans ATCC 23270,2982397,Acidithiobacillus,215,6.65,,Free living,26.44,855,afr,17.72,573,Iron oxidizer,Motile,243159,Acidithiobacillus ferrooxidans ATCC 23270,Acidithiobacillales,Obligate aerobe,14.25,461,Acidophile,Proteobacteria,zzz,57649,,J. Craig Venter Institute,ferrooxidans,,Nonsporulating,Finished,ATCC 23270,643348501,643348501,Mesophile
,6,Free living,,,"Singles, V-shaped forms",Rod-shaped,Actinobacteria,None,bacteria,,,,,Chemoorganotroph,Corynebacteriaceae,Gc00535,19193,3174,Corynebacterium glutamicum R,3363299,Corynebacterium,294,9.26,,Free living,29.33,931,cgt,19.47,618,,Nonmotile,340322,Corynebacterium glutamicum R,Actinomycetales,Facultative,9.77,310,Fast growing,Actinobacteria,zzz,58897,,RITE,glutamicum,,Nonsporulating,Finished,R,640427110,640427110,Mesophile
,1,,,,,,Actinobacteria,,bacteria,,,,,,Frankiaceae,Gi04474,39113,4779,Frankia symbiont of Datisca glomerata,5204281,Frankia,234,4.9,,,21.16,1011,fsy,14.54,695,,,656024,Frankia symbiont of Datisca glomerata,Actinomycetales,,18.5,884,,Actinobacteria,CSP_776749,46257,,DOE Joint Genome Institute,symbiont,,,Draft,of Datisca glomerata,647000253,647000253,
,6,Free living,,,"Chains, Singles",Rod-shaped,Bacilli,None,bacteria,,,,,Chemoorganotroph,Listeriaceae,Gc01165,41123,2795,"Listeria seeligeri sv 1/2b, SLCC3954",2797636,Listeria,194,6.94,,Free living,31.91,892,lsg,18.57,519,,Motile,683837,Listeria seeligeri serovar 1/2b str. SLCC3954,Bacillales,Facultative,15.24,426,Non-Pathogen,Firmicutes,zzz,46215,,"AGOWA, Max-Planck Institute, PathoGenoMik",seeligeri,,Nonsporulating,Finished,serovar 1/2b str. SLCC3954,646564544,646564544,Mesophile
,3,Free living,,,,Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Heterotroph,Alteromonadaceae,Gc00504,13239,4342,Marinobacter aquaeolei VT8,4779762,Marinobacter,328,7.55,,Free living,27.82,1208,maq,16.86,732,"Hydrocarbon degrading, Iron oxidizer, Oil degrading",Motile,351348,Marinobacter aquaeolei VT8,Alteromonadales,Facultative,17.5,760,"Non-Pathogen, Biofilm",Proteobacteria,Single Microbes 2005 CSP,59419,Halophile,"DOE Joint Genome Institute, Woods Hole Oceanographic Institute",aquaeolei,,Nonsporulating,Finished,VT8,639633037,639633037,Mesophile
,1,,,,,,Aquificae,,bacteria,,,,,,Aquificaceae,,41547,1948,Hydrogenobacter thermophilus TK-6,1742932,Hydrogenobacter,62,3.18,,,34.65,675,hth,24.23,472,,,608538,Hydrogenobacter thermophilus TK-6,Aquificales,,1.69,33,,Aquificae,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),,,"DOE Joint Genome Institute, DSMZ",thermophilus,,,Finished,TK-6,650377953,650377953,
,10,Free living,,,"Singles, Pairs",Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Heterotroph,Shewanellaceae,Gc00902,17985,4622,Shewanella baltica OS223,5358884,Shewanella,339,7.33,,Free living,24.45,1130,sbp,16.21,749,,Motile,407976,Shewanella baltica OS223,Alteromonadales,Facultative,13.72,634,,Proteobacteria,zzz,58775,,DOE Joint Genome Institute,baltica,,Nonsporulating,Finished,OS223,643348574,643348574,Psychrotolerant
,9,Free living,,,"Pairs, Singles",Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Heterotroph,Shewanellaceae,Gc00105,335,4657,Shewanella oneidensis MR-1,5131408,Shewanella,365,7.84,,Free living,23.45,1092,son,15.4,717,Metal reducer,Motile,211586,Shewanella oneidensis MR-1,Alteromonadales,Facultative,14.97,697,Opportunistic Pathogen,Proteobacteria,zzz,57949,,J. Craig Venter Institute,oneidensis,,Nonsporulating,Finished,MR-1,637000258,637000258,Mesophile
,4,,,,,,Deltaproteobacteria,,bacteria,,,,,,Geobacteraceae,,33159,4599,Geobacter sp. M18,5277406,Geobacter,225,4.89,,,25.07,1153,geb,15,690,,,443143,Geobacter sp. M18,Desulfuromonadales,,4.83,222,,Proteobacteria,zzz,55771,,DOE Joint Genome Institute,sp.,,,Finished,M18,649633049,649633049,
,4,Free living,,,Singles,Rod-shaped,Deltaproteobacteria,None,bacteria,,,,,Chemolithotroph,Geobacteraceae,Gc01078,20729,4222,Geobacter sp. M21,4745806,Geobacter,305,7.22,,Free living,26.79,1131,gem,16.37,691,Metal reducer,Motile,443144,Geobacter sp. M21,Desulfuromonadales,Anaerobe,17.53,740,,Proteobacteria,Single Isolate (Lovley) DNA Sequencing,59037,,DOE Joint Genome Institute,sp.,,Nonsporulating,Finished,M21,644736371,644736371,Mesophile
,8,Free living,,,"Pairs, Singles",Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Heterotroph,Shewanellaceae,Gc00477,13385,3791,Shewanella amazonensis SB2B,4306142,Shewanella,348,9.18,,Free living,28.57,1083,saz,19.15,726,Metal reducer,Motile,326297,Shewanella amazonensis SB2B,Alteromonadales,Facultative,9.21,349,,Proteobacteria,zzz,58257,,DOE Joint Genome Institute,amazonensis,,Nonsporulating,Finished,SB2B,639633057,639633057,Mesophile
,2,Free living,,,,Coccus-shaped,Methanococci,None,archaea,,,,,Lithotroph,Methanocaldococcaceae,Gc00004,102,1844,Methanocaldococcus jannaschii DSM 2661,1739916,Methanocaldococcus,207,11.23,,Free living,29.01,535,mja,18.98,350,Methanogen,Motile,243232,Methanocaldococcus jannaschii DSM 2661,Methanococcales,Obligate anaerobe,10.2,188,Piezophile,Euryarchaeota,zzz,57713,,"J. Craig Venter Institute, Univ of Illinois at Urbana-Champaign",jannaschii,,Nonsporulating,Finished,DSM 2661,638154505,638154505,Hyperthermophile
,2,Free living,,,,Coccus-shaped,Gammaproteobacteria,None,bacteria,,,,,Methanotroph,Methylococcaceae,Gc00217,21,3061,Methylococcus capsulatus Bath,3304560,Methylococcus,305,9.96,,Free living,30.09,921,mca,21.2,649,,,243233,Methylococcus capsulatus str. Bath,Methylococcales,Aerobe,10.91,334,,Proteobacteria,zzz,57607,,"J. Craig Venter Institute, Univ of Bergen, Norway",capsulatus,,,Finished,str. Bath,637000166,637000166,Thermophile
,3,Free living,,,,Coccus-shaped,Deinococci,None,bacteria,,,,,Chemoorganotroph,Deinococcaceae,Gc00024,65,3249,Deinococcus radiodurans USUHS (R1),3284088,Deinococcus,304,9.36,,Free living,26.9,874,dra,17.88,581,,Nonmotile,243230,Deinococcus radiodurans R1,Deinococcales,Aerobe,8.96,291,Radiation resistant,Thermi,zzz,57665,,J. Craig Venter Institute,radiodurans,,,Finished,R1,637000092,637000092,Mesophile
,2,Free living,,,Singles,Rod-shaped,Deltaproteobacteria,None,bacteria,,,,,Chemolithotroph,Geobacteraceae,Gc00166,192,3552,Geobacter sulfurreducens PCA,3814139,Geobacter,306,8.61,,Free living,27.7,984,gsu,16.78,596,Toxic metal reducer,Motile,243231,Geobacter sulfurreducens PCA,Desulfuromonadales,Anaerobe,15.46,549,,Proteobacteria,zzz,57743,,"J. Craig Venter Institute, Univ of Massachusetts",sulfurreducens,,Nonsporulating,Finished,PCA,637000120,637000120,Mesophile
,1,Symbiotic,,,"Pairs, Singles",Coccus-shaped,Thermoprotei,None,archaea,,,,,Chemolithoautotroph,Desulfurococcaceae,Gc00636,13914,1496,"Ignicoccus hospitalis KIN4/I, DSM 18386",1297538,Ignicoccus,143,9.56,,Symbiotic,30.75,460,iho,18.58,278,,Motile,453591,Ignicoccus hospitalis KIN4/I,Desulfurococcales,Anaerobe,3.61,54,,Crenarchaeota,Ignicoccus hospitalis KIN4/I,58365,,DOE Joint Genome Institute,hospitalis,,Nonsporulating,Finished,KIN4/I,640753029,640753029,Hyperthermophile
,1,Free living,,,,Rod-shaped,Thermoprotei,None,archaea,,,,,"Chemolithotroph, Organotroph, Autotroph",Thermoproteaceae,Gc00540,15582,2410,"Pyrobaculum arsenaticum PZ6, DSM 13514",2121076,Pyrobaculum,178,7.39,,Free living,25.81,622,pas,16.56,399,,Motile,340102,Pyrobaculum arsenaticum DSM 13514,Thermoproteales,Anaerobe,14.4,347,Non-Pathogen,Crenarchaeota,Pyrobaculum,58409,,DOE Joint Genome Institute,arsenaticum,,Nonsporulating,Finished,DSM 13514,640427135,640427135,Hyperthermophile
,1,Free living,,,,Coccus-shaped,Chlorobia,None,bacteria,,,,,Photosynthetic,Chlorobiaceae,Gc00835,12749,2451,"Prosthecochloris aestuarii SK413, DSM 271",2579695,Prosthecochloris,272,11.1,,Free living,31.37,769,paa,21.91,537,Nitrogen fixation,Nonmotile,290512,Prosthecochloris aestuarii DSM 271,Chlorobiales,,12,294,Green sulfur,Chlorobi,zzz,58151,,DOE Joint Genome Institute,aestuarii,,,Finished,DSM 271,642555149,642555149,Mesophile
,2,Free living,,,,Rod-shaped,Actinobacteria,None,bacteria,,,,,Chemoorganotroph,Cellulomonadaceae,Gc01326,19707,3783,"Cellulomonas flavigena 134, DSM 20109",4123179,Cellulomonas,264,6.98,,Free living,23.5,889,cfl,15.65,592,"Biomass degrader, Cellulose degrader, Nitrate reducer, Xylan degrader",Nonmotile,446466,Cellulomonas flavigena DSM 20109,Actinomycetales,Facultative,11.5,435,,Actinobacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),48821,,"DOE Joint Genome Institute, DSMZ",flavigena,,Nonsporulating,Finished,DSM 20109,646564520,646564520,Mesophile
,6,Free living,Airways,,Singles,Rod-shaped,Gammaproteobacteria,Bubonic plague,bacteria,,,,,Heterotroph,Enterobacteriaceae,Gc00064,34,4368,Yersinia pestis CO-92,4829855,Yersinia,407,9.32,,Free living,30.86,1348,ype,17.35,758,,Motile,214092,Yersinia pestis CO92,Enterobacteriales,Facultative,15.8,690,Pathogen,Proteobacteria,zzz,57621,,"DSTL, Imperial College, MDS, Sanger Institute",pestis,,Nonsporulating,Finished,CO92,637000351,637000351,Mesophile
,6,Free living,Gastrointestinal tract,Intestinal tract,Singles,Rod-shaped,Bacteroidia,"Abscesses, Diarrhea",bacteria,,,,,Chemoorganotroph,Bacteroidaceae,Gc00222,13067,4730,Bacteroides fragilis YCH46,5310990,Bacteroides,302,6.38,,Free living,18.08,855,bfr,12.92,611,,,295405,Bacteroides fragilis YCH46,Bacteroidales,Obligate anaerobe,18.67,883,Pathogen,Bacteroidetes,zzz,58195,,"Kitasato Univ, RIKEN, Tokushima Univ",fragilis,,,Finished,YCH46,637000025,637000025,Mesophile
,10,,,,,,Bacilli,,bacteria,,,,,,Bacillaceae,,33183,4031,Geobacillus sp. Y4.1MC1,3911947,Geobacillus,177,4.39,,,29.05,1171,gmc,18.04,727,,,581103,Geobacillus sp. Y4.1MC1,Bacillales,,5.06,204,,Firmicutes,zzz,55779,,DOE Joint Genome Institute,sp.,,,Finished,Y4.1MC1,649633047,649633047,
,5,Free living,,,Singles,Rod-shaped,Gammaproteobacteria,"Plant rot, Speck disease",bacteria,,,,,Heterotroph,Pseudomonadaceae,Gc00154,359,5721,Pseudomonas syringae pv. tomato DC3000,6538260,Pseudomonas,419,7.32,,Free living,27.62,1580,pst,16.05,918,,Motile,223283,Pseudomonas syringae pv. tomato str. DC3000,Pseudomonadales,Aerobe,21.53,1232,Pathogen,Proteobacteria,zzz,57967,,"Cornell Univ, J. Craig Venter Institute, Kansas State Univ, Univ of Missouri, Univ of Nebraska",syringae,,Nonsporulating,Finished,pv. tomato str. DC3000,637000225,637000225,Mesophile
,9,Free living,,,"Chains, Singles, Pairs",Rod-shaped,Clostridia,Botulism,bacteria,,,,,Chemoorganotroph,Clostridiaceae,Gc00622,19519,3863,Clostridium botulinum F Langeland,4012918,Clostridium,198,5.13,,Free living,22.7,877,cbf,12.79,494,,Motile,441772,Clostridium botulinum F str. Langeland,Clostridiales,Obligate anaerobe,19.8,765,Pathogen,Firmicutes,zzz,58929,,"DOE Joint Genome Institute, Los Alamos National Lab, Los Alamos National Laboratory",botulinum,,Sporulating,Finished,F str. Langeland,640753019,640753019,Mesophile
,8,Free living,,,"Pairs, Chains, Singles",Rod-shaped,Clostridia,Botulism,bacteria,,,,,Chemoorganotroph,Clostridiaceae,Gc00621,19521,3622,Clostridium botulinum BoNT/A1 Hall,3760560,Clostridium,195,5.38,,Free living,24.21,877,cbh,13.47,488,,Motile,441771,Clostridium botulinum A str. Hall,Clostridiales,Obligate anaerobe,19.63,711,Pathogen,Firmicutes,zzz,58931,,"DOE Joint Genome Institute, Los Alamos National Lab, Los Alamos National Laboratory",botulinum,,Sporulating,Finished,A str. Hall,640753018,640753018,Mesophile
,8,Free living,,,"Singles, Pairs, Chains",Rod-shaped,Clostridia,Botulism,bacteria,,,,,Chemoorganotroph,Clostridiaceae,Gc00623,19517,3750,"Clostridium botulinum BoNT/A1, ATCC 19397",3863450,Clostridium,201,5.36,,Free living,23.44,879,cba,13.04,489,,Motile,441770,Clostridium botulinum A str. ATCC 19397,Clostridiales,Obligate anaerobe,20.91,784,Pathogen,Firmicutes,zzz,58927,,"DOE Joint Genome Institute, Los Alamos National Lab, Los Alamos National Laboratory",botulinum,,Sporulating,Finished,A str. ATCC 19397,640753017,640753017,Mesophile
,10,Free living,,,"Pairs, Singles",Rod-shaped,Clostridia,"Enteritis necroticans, Food poisoning, Gas gangrene, Necrotizing enterocolitis",bacteria,,,,,Chemoorganotroph,Clostridiaceae,Gc00076,79,2905,Clostridium perfringens 13,3085740,Clostridium,273,9.4,,Free living,27.71,805,cpe,17.11,497,,Motile,195102,Clostridium perfringens str. 13,Clostridiales,Anaerobe,13.8,401,Pathogen,Firmicutes,zzz,57681,,"Kitasato Univ, Kyushu Univ, Univ of Tsukuba",perfringens,,Sporulating,Finished,str. 13,637000079,637000079,Mesophile
,8,Free living,,,"Pairs, Chains, Singles",Rod-shaped,Clostridia,"Dysenteria, Enterotoxemia, Gas gangrene, Enterocolitis, Food poisoning",bacteria,,,,,Chemoorganotroph,Clostridiaceae,Gc00406,304,3066,Clostridium perfringens ATCC 13124,3256683,Clostridium,262,8.55,,Free living,26.39,809,cpf,16.11,494,,Motile,195103,Clostridium perfringens ATCC 13124,Clostridiales,Obligate anaerobe,14.32,439,Pathogen,Firmicutes,zzz,57901,,J. Craig Venter Institute,perfringens,,Sporulating,Finished,ATCC 13124,637000077,637000077,Mesophile
,1,Free living,,,,Coccus-shaped,Thermoprotei,None,archaea,,,,,Organotroph,Desulfurococcaceae,Gc00873,28141,1521,Desulfurococcus kamchatkensis 1221n,1365223,Desulfurococcus,110,7.23,,Free living,29.19,444,dka,15.98,243,,Nonmotile,490899,Desulfurococcus kamchatkensis 1221n,Desulfurococcales,Obligate anaerobe,6.64,101,,Crenarchaeota,zzz,59133,,"Center of Bioengineering, INMI-RAS",kamchatkensis,,,Finished,1221n,643348540,643348540,Hyperthermophile
,14,Free living,,,"Singles, Pairs",Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Heterotroph,Shewanellaceae,Gc01272,34739,4515,Shewanella violacea DSS12,4962103,Shewanella,184,4.08,,Free living,23.94,1081,svo,15.42,696,,Motile,637905,Shewanella violacea DSS12,Alteromonadales,Facultative,9.66,436,Piezophile,Proteobacteria,zzz,47085,,"JAMSTEC, Keio Univ, Kinki Univ",violacea,,Nonsporulating,Finished,DSS12,646564568,646564568,Psychrophile
,5,Free living,,,Singles,Rod-shaped,Gammaproteobacteria,"Plant rot, Halo blight",bacteria,,,,,Heterotroph,Pseudomonadaceae,Gc00321,12416,5436,Pseudomonas syringae pv. phaseolicola 1448A,6112448,Pseudomonas,407,7.49,,Free living,29.34,1595,psp,16.69,907,,Motile,264730,Pseudomonas syringae pv. phaseolicola 1448A,Pseudomonadales,Aerobe,19,1033,Pathogen,Proteobacteria,zzz,58099,,"Cornell Univ, J. Craig Venter Institute",syringae,,Nonsporulating,Finished,pv. phaseolicola 1448A,637000223,637000223,Mesophile
,3,Free living,,,,,Methanomicrobia,None,archaea,,,,,Lithotroph,Methanocellaceae,Gc00528,19641,3149,Methanocella sp. RC-I,3179916,Methanocella,207,6.57,,Free living,23.44,738,rci,14.45,455,Methanogen,,351160,uncultured methanogenic archaeon RC-I,Methanocellales,,19.66,619,Non-Pathogen,Euryarchaeota,zzz,61623,,"Max Planck Institute, Max-Planck Institute",sp.,,,Finished,archaeon RC-I,640427153,640427153,Mesophile
,4,Free living,,,Singles,Rod-shaped,Betaproteobacteria,None,bacteria,,,,,Diazotroph,Rhodocyclaceae,Gc00232,13242,4686,Aromatoleum aromaticum EbN1,4727255,Aromatoleum,374,7.98,,Free living,25.74,1206,eba,17.43,817,"Denitrifying, Nitrate reducer, Hydrocarbons metabolizer",Motile,76114,Aromatoleum aromaticum EbN1,Rhodocyclales,Facultative,18.03,845,,Proteobacteria,zzz,58231,,"Max Planck Institute, Max-Planck Institute",sp.,,,Finished,EbN1,637000012,637000012,Mesophile
,2,Free living,,,,Sphere-shaped,Deinococci,None,bacteria,,,,,Chemoorganotroph,Trueperaceae,Gc01303,38371,3046,"Truepera radiovictrix RQ-24, DSM 17093",3260398,Truepera,268,8.8,,Free living,30.17,919,tra,19.24,586,,Nonmotile,649638,Truepera radiovictrix DSM 17093,Deinococcales,Obligate aerobe,12.15,370,Radiation resistant,Thermi,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),49533,,"DOE Joint Genome Institute, DSMZ",radiovictrix,,Nonsporulating,Finished,DSM 17093,646564586,646564586,Thermophile
,2,Free living,,,Singles,Coccus-shaped,Cyanophyceae,None,bacteria,,,,,Photoheterotroph,Cyanobacteriaceae,Gc00760,20319,5354,"Cyanothece sp. BH68, ATCC 51142",5460377,Cyanothece,299,5.58,,Free living,20.49,1097,cyt,12.53,671,Nitrogen fixation,Nonmotile,43989,Cyanothece sp. ATCC 51142,Chroococcales,Facultative,19.8,1060,,Cyanobacteria,zzz,59013,,"Purdue Univ, Washington Univ",sp.,,,Finished,ATCC 51142,641522622,641522622,Mesophile
,2,Free living,,,"Chains, Pairs",Rod-shaped,Methanobacteria,None,archaea,,,,,Lithotroph,Methanobacteriaceae,Gc00574,18653,1841,"Methanobrevibacter smithii PS, ATCC 35061",1853160,Methanobrevibacter,194,10.54,,Free living,32.97,607,msi,20.21,372,Methanogen,Nonmotile,420247,Methanobrevibacter smithii ATCC 35061,Methanobacteriales,Anaerobe,10.27,189,Symbiotic,Euryarchaeota,zzz,58827,,Washington Univ,smithii,,,Finished,ATCC 35061,640427121,640427121,Mesophile
,2,Free living,,,,Rod-shaped,Deltaproteobacteria,None,bacteria,,,,,Heterotroph,Myxococcaceae,Gc00340,12634,4421,Anaeromyxobacter dehalogenans 2CP-C,5013479,Anaeromyxobacter,343,7.76,,Free living,25.29,1118,ade,16.35,723,,Motile,290397,Anaeromyxobacter dehalogenans 2CP-C,Myxococcales,Anaerobe,12.73,563,Non-Pathogen,Proteobacteria,zzz,58135,,DOE Joint Genome Institute,dehalogenans,,Sporulating,Finished,2CP-C,637000007,637000007,Mesophile
,2,Free living,,,,Rod-shaped,Aquificae,None,bacteria,,,,,Chemolithoautotroph,Hydrogenothermaceae,Gc00938,12526,2095,Persephonella marina EX-H1,1983964,Persephonella,152,7.26,,Free living,34.37,720,pmx,22.48,471,"Nitrate reducer, Hydrogen oxidizer",Motile,123214,Persephonella marina EX-H1,Aquificales,Microaerophilic,7.45,156,,Aquificae,zzz,58119,,"J. Craig Venter Institute, Portland State Univ",marina,,Nonsporulating,Finished,EX-H1,643692030,643692030,Thermophile
,1,Free living,,,Singles,Oval-shaped,Cyanophyceae,None,bacteria,,,,,Photosynthetic,Synechococcaceae,Gc00651,18633,2059,Prochlorococcus marinus MIT 9215,1738790,Prochlorococcus,236,11.46,,Free living,34.39,708,pmh,22.92,472,,Nonmotile,93060,Prochlorococcus marinus str. MIT 9215,Synechococcales,,7.48,154,,Cyanobacteria,zzz,58819,,DOE Joint Genome Institute,marinus,,,Finished,str. MIT 9215,640753041,640753041,Mesophile
,7,Free living,,,"Pairs, Singles",Rod-shaped,Gammaproteobacteria,"Food poisoning, Gastroenteritis, Salmonellosis, Typhoid fever",bacteria,,,,,Chemoorganotroph,Enterobacteriaceae,Gc00238,13086,4295,"Salmonella enterica enterica sv Paratyphi A, ATCC 9150",4585229,Salmonella,498,11.59,,Free living,33.22,1427,spt,20.63,886,,Motile,295319,Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150,Enterobacteriales,Facultative,15.2,653,Pathogen,Proteobacteria,zzz,58201,,Washington Univ,enterica,,Nonsporulating,Finished,subsp. enterica serovar Paratyphi A str. ATCC 9150,637000252,637000252,Mesophile
