PHOSPHO-CHEB	EG10147		CheB-P<SUP>asp</SUP>	B1883, CheB, protein-glutamate methylesterase-P<SUP>asp</SUP>, regulatory protein domain cheB-asp-P, modified regulatory protein cheB, phospho-cheB, phosphorylated regulatory protein cheB, peptidoglutaminase II
PRDA23-MONOMER	G-89		23-kDa subunit	PrdA
PRDA45-MONOMER	G-90		45-kDa subunit	PrdA
PYRUVFORMLY-CPLX				pyruvate formate lyase, active form
SAMDC-ALPHA-MONOMER	EG10962		&alpha; cleavage product of SpeD	B0120, SpeD
SAMDC-BETA-MONOMER	EG10962		&beta; cleavage product of SpeD	B0120, SpeD
SOXDDENIT-MONOMER	G-306		SoxD	cytochrome c
MONOMER-13706	G-10466	Q9XF20	holo-[acyl carrier protein]	
OCTANOYL-ACP			octanoyl-ACP	B1094, AcpP
CPD-12666			octadecanyl-[acp]	
LIPOYL-ACP			lipoyl-ACP	
THIS-COAMP-MONOMER	G1		ThiS-COAMP	B4407, ThiS
BCCP-BIOTIN	EG10275		biotinylated biotin-carboxyl carrier protein	B3255, FabE, AccB, [acetyl-CoA:carbon-dioxide ligase (ADP forming)], BCCP-biotin (monomer), biotin-BCCP (monomer)
BCCP-CPLX			AccB transcriptional repressor; biotin carboxyl carrier protein (dimer)	BCCP, AccB
CITRAMALATE-LYASE-ACTIVE-FORM			citramalate lyase, active form	citramalate lyase, acetyl form
OX-GLUTAREDOXIN-B	EG12688	P39811	oxidized glutaredoxin 2	GrxB
ACPSUB-CPLX			citrate lyase [acyl carrier protein] component	CitD acyl carrier protein
CITLY-CPLX			citrate lyase, inactive	(HS)-citrate lyase, citrate lyase, thiol form, deacetyl-citrate lyase
3-METHYL-BUTANOYL-DIHYDROLIPOYL-E2			enzyme <i>N<sup>6</sup></i>-(<i>S</i>-[3-methylbutanoyl]dihydrolipoyl)lysine	[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine
LIPOYL-GCVH			lipoyl-GcvH-protein	B2904, Gcv, GcvH, lipoyl-protein
SUCB-S-SUCCINYLDIHYDROLIPOATE			SucB-S-succinyldihydrolipoate	B0727, SucB
SUCB-DIHYDROLIPOATE			SucB-dihydrolipoate	B0727, SucB
SUCB-LIPOATE			SucB-lipoate	B0727, SucB
ACEF-S-ACETYLDIHYDROLIPOATE			AceF-S-acetyldihydrolipoate	B0115, AceF
ACEF-DIHYDROLIPOATE			AceF-dihydrolipoate	AceF
OX-THIOREDOXIN-MONOMER	EG11031	P0AA25	oxidized thioredoxin 1	TsnC, FipA, B3781, DasC, TrxA, thioredoxin(S)<sub>2</SUB>, thioredoxin 1 disulfide
FLDAKOX-MONOMER	G-86		flavodoxin 2 oxidized	FldA
NIFFKOX-MONOMER	G-85		flavodoxin oxidized	NifF
CPLX-202			dinitrogenase<SUB>oxidized</SUB>	
CPLX-221			nitrogenase reductase<SUB>oxidized</SUB>	
MONOMER-15349	G-11752	P27503	pyrroloquinoline quinone biosynthesis protein A	PqqA, PQQ biosynthesis protein A
MONOMER-12953	G-9907		renin-2 heavy chain	submandibular gland renin heavy chain
MONOMER-12954	G-9907		renin-2 light chain	
THIS-COSH-MONOMER	G1		ThiS-COSH	B4407, ThiS
URIDYLYL-PII			PII-UMP	B2553, GlnB, uridylyl-[protein PII]
CPLX-7650			gramicidin S synthetase	
MONOMER-15297	G-11709	Q9Z373	HMWP1 nonribosomal peptide/polyketide synthase	
MONOMER-15298	G-11710	Q7CI41	HMWP2 nonribosomal peptide synthetase	
MONOMER-15301	G-11713	Q9HWG3	PchD	salicyl-AMP ligase, pyochelin biosynthesis protein PchD
MONOMER-15310	G-11722	Q9I157	non-ribosomal peptide synthetase PvdL	PvdL
MONOMER-15311	G-11723	Q5DIV7	non-ribosomal peptide synthetase PvdI	PvdI
MONOMER-15312	G-11724	Q9I181	non-ribosomal peptide synthetase PvdJ	PvdJ
MONOMER-15313	G-11725	Q9I182	non-ribosomal peptide synthetase PvdD	PvdD
MONOMER-15302	G-11714	Q9RFM8	PchE	pyochelin synthetase PchE
MONOMER-15303	G-11715	Q9RFM7	PchF	pyochelin synthetase PchF
MONOMER-14504	G-11074	O82089	copper homeostasis factor	CCH, antioxidant-oxidant 1
ARSF-MONOMER	EG12236	P37310	ArsB	ArsF, B3502, ArsB
PITA-MONOMER		P37308	PitA	B3493, Pit, PitA
GLPF-MONOMER	EG10396		GlpF - glycerol MIP channel	B3927, GlpF
CADB-MONOMER	EG10132	P0AAE8	CadB cadaverine/lysine APC exchanger	B4132, CadB
PTSH-MONOMER	EG10788		HPr	B2415, Hpr, Ctr, PtsH
PTSI-MONOMER	EG10789		PTS enzyme I	B2416, Ctr, PtsI
AGAB-MONOMER	EG12769		AgaB	B3138, YraD, AgaB
AGAC-MONOMER	EG12770		AgaC	B3139, YraE, AgaC
AGAD-MONOMER	G7635			B3140, YraF, AgaD
AGAX-MONOMER	EG12322			B0129, YadI, AgaX
ASCF-MONOMER	EG10086		AscF	B2715, Sac, BglF, AscF
BGLF-MONOMER	EG10115		BglF	B3722, BglS, AscF, BglF
CELA-MONOMER	EG10140		ChbB	B1738, ChbB, CelA, ChbA
CELB-MONOMER	EG10141		ChbC	B1737, ChbC, Hic, ChbB, CelB
CELC-MONOMER	EG10142		ChbA	B1736, ChbA, CelC, ChbC
CMTA-MONOMER	EG11792		CmtA	B2933, Cmt, TolM, CmtA
CMTB-MONOMER	EG11791		CmtB	B2934, TolM, CmtB
CRR-MONOMER	EG10165		Crr	B2417, TreD, Tgs, Iex, Gsr, Crr
FRUA-MONOMER	EG10336		FruA	B2167, PtsF, FruA
FRUB-MONOMER	G7990		FruB	B2169, Fpr, FruF, FruB
FRVA-MONOMER	EG11864		FrvA	B3900, YiiK, FrvA
FRVB-MONOMER	EG11863		FrvB	B3899, YiiJ, FrvB
FRWB-MONOMER	EG11909		FrwB	B3950, YijK, FrwB
FRWC-MONOMER	EG11908		FrwC	B3949, YijJ, FrwA, FrwC
GATA-MONOMER	EG12414		GatA	B2094, GatA
GATB-MONOMER	EG12415		GatB	B2093, GatB
GATC-MONOMER	EG12416		GatC	B2092, GatC
GLVB-MONOMER	EG11709		GlvB	B3682, YidN, GlvB
GLVC-MONOMER	EG11710		GlvC	PtiC, B3683, YidO, GlvC
GUTA-MONOMER	EG10969		GutA	B2703, Sbl, SrlA, GutE, GutA, SrlE
GUTB-MONOMER	EG10970		GutB	B2704, GutB, SrlB
HRSA-MONOMER	EG13235		MngA	Frx, B0731, HrsA
MALX-MONOMER	EG10563		MalX	B1621, MalX
MANX-MONOMER	EG10567		ManX	B1817, Mpt, PtsX, PtsM, PtsL, GptB, ManX
MANY-MONOMER	EG10568		ManY	B1818, Pel, PtsX, PtsP, PtsM, ManY
MANZ-MONOMER	EG10569		ManZ	B1819, Mpt, PtsX, PtsM, GptB, ManZ
MONOMER0-5	G7264		MurP	B2429, YfeV
MTLA-MONOMER	EG10615		MtlA	B3599, MtlC, MtlA
NAGE-MONOMER	EG10635		NagE	B0679, PtsN, PstN, NagE
PTSG-MONOMER	EG10787		PtsG	B1101, Tgl, Umg, UmgC, Gpt, Cat, Car, GlcA, PtsG
SGAT-MONOMER	G7856		UlaA	B4193, YjfS, SgaT
SGCA-MONOMER	EG12554		SgcA	B4302, YjhL, SgcA
SGCC-MONOMER	EG12556		SgcC	B4304, YjhN, SgcC
TREB-MONOMER	EG12127		TreB	B4240, TreB
TREHALAPERI-MONOMER	EG11017	P13482	periplasmic trehalase	B1197, Tre, OsmA, TreA
YJFT-MONOMER	EG12494		UlaB	B4194, SgaB, YjfT
YJFU-MONOMER	EG12495		UlaC	SgaA, B4195, PtxA, YjfU
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	EG11377	P26647	1-acylglycerol-3-phosphate O-acyltransferase	1-acyl-sn-glycerol-3-phosphate acyltransferase, 1-acylglycerolphosphate acyltransferase, acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase, 1-acylglycerol-3-phosphate-O-acyltransferase, B3018, ParF, PlsC
1-PFK-MONOMER	EG10337	P0AEW9	1-phosphofructokinase monomer	B2168, Fpk, FruF, FruK
2-DEHYDROPANTOATE-REDUCT-MONOMER	G6239	P0A9J4	2-dehydropantoate 2-reductase	B0425, PanE, ApbA
2-ISOPROPYLMALATESYN-MONOMER	EG11226	P09151	2-isopropylmalate synthase	B0074, LeuA
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	EG11473	P0A887	bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase	B3833, YigO, UbiE
2-OCTAPRENYLPHENOL-HYDROX-MONOMER	EG11476	P0A6A0		B3835, YigQ, YigS, AarF, YigR, UbiB
22908-MONOMER	22908	Q9NTJ5	phosphatidylinositide phosphatase SAC1	phosphoinositide phosphatase
26DICHDIOXFLAVO-MONOMER	G-264	Q9ZBB0		PcpA
27124-MONOMER	27124	Q15735	phosphatidylinositol-4,5-bisphosphate 5-phosphatase, A	inositol polyphosphate 5-phosphatase, inositol polyphosphate 5-phosphatase J
2ASDOSOXY-MONOMER			orthanilate dioxygenase system, oxygenase component	
2ASDOSRED-MONOMER			orthanilate dioxygenase system, reductase component	
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	EG11675	P31057	3-methyl-2-oxobutanoate hydroxymethyltransferase monomer	B0134, PanB
3-ISOPROPYLMALDEHYDROG-MONOMER	EG11577	P30125	LeuB	B0073
3-OXOACYL-ACP-REDUCT-MONOMER	EG11318	P0AEK2	3-oxo-acyl-[acyl-carrier-protein] reductase	B1093, FabG, &beta;-ketoacyl-ACP reductase, 3-ketoacyl-acyl carrier protein reductase, 3-oxoacyl-[acyl-carrier-protein] reductase, 3-ketoacyl-ACP reductase, (3R)-3-hydroxyacyl-[ACP]:NADP+ oxidoreductase, 3-oxoacyl-[ACP] reductase
3-OXOACYL-ACP-SYNTHII-MONOMER	EG12606	P0AAI5	FabF	B1095, Vtr, Cvc, VtrB, FabJ
3418-MONOMER	3418	P48735	mitochondrial isocitrate dehydrogenase monomer	
3SC23OALCAL-MONOMER				
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	EG11370	P0AGK1		B4040, Cyr, UbiA
54657-MONOMER	54657		UDP glycosyltransferase 1 family, polypeptide A4	UDP-glucuronosyltransferase 1A4
57678-MONOMER	ENSG00000119927	Q9HCL2	mitochondrial glycerol 3-phosphate acyltransferase	glycerol 3-phosphate acyltransferase, mitochondrial
6PFK-1-MONOMER	EG10699	P0A796	6-phosphofructokinase-1 monomer	B3916, PfkA
6PFK-2-MONOMER	EG10700	P06999	6-phosphofructokinase-2 monomer	B1723, PfkB
6PGLUCONDEHYDROG-MONOMER	EG10411	P00350	Gnd	B2029
6PGLUCONOLACT-MONOMER	G6397	P52697		B0767, Pgl, YbhE
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	EG10425	P0AET8	HdhA	B1619, Hsd, HsdH
753205-MONOMER	JGI-753205			
7KAPSYN-MONOMER	EG10121	P12998	8-amino-7-oxononanoate synthase monomer	B0776, BioF
AADCLOS-MONOMER	G-101	P33744	alcohol/aldehyde dehydrogenase	AdhE, Aad
AAS-MONOMER	EG11679	P31119		B2836, Aas
ACECOATRANS-MONOMER				
ACEKINPROP-MONOMER				
ACETATEKINA-MONOMER	EG10027	P0A6A3		B2296, AckA, propionate kinase 2, acetate kinase A
ACETOLACTSYNIII-HCHAIN-MONOMER	EG10499	P00894	IlvH	B0078, BrnP
ACETOLACTSYNIII-ICHAIN-MONOMER	EG10500	P00893	IlvI	B0077
ACETYL-COA-ACETYLTRANSFER-MONOMER	EG11672	P76461	AtoB	B2224
ACETYLGLUTKIN-MONOMER	EG10064	P0A6C8	acetylglutamate kinase monomer	B3959, ArgB
ACETYLORNDEACET-MONOMER	EG11286	P23908	ArgE	B3957
ACETYLORNTRANSAM-MONOMER	EG10066	P18335	ArgD	B3359, Dtu, DapC
ACKCLOS-MONOMER	G-103	P71104	acetate kinase monomer	AckA, Ack
ACKCLTH-MONOMER			acetate kinase	
ACKMSARC-MONOMER	G-383		Ack	Ack
ACNEULY-MONOMER	EG10637	P0A6L4	NanA	B3225, Npl
ACONITASE-MONOMER	EG11325	P25516	aconitate hydratase 1	B1276, Acn, AcnA
ACONITATEDEHYDRB-MONOMER	EG12316	P36683	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	B0118, YacI, YacJ, AcnB
ACPSUB-MONOMER	G6343	P69330	citrate lyase, acyl carrier &gamma; subunit	B0617, YbdX, CitD
ACS-MONOMER	EG11448	P27550	acetyl-CoA synthetase (AMP-forming)	acetate-CoA ligase, acyl-activating, acetyl-coenzyme A synthetase, acetyl activating enzyme, acetate thiokinase, acetate:CoA ligase (AMP-forming), B4069, AcsA, YfaC, Acs
ACSERLYA-MONOMER	EG10192	P0ABK5	CysK	B2414, CysZ, Ssi5
ACSERLYB-MONOMER	EG10193	P16703	CysM	B2421
ACYLCOADEHYDROG-MONOMER	G6105	Q47146		B0221, FadE, YafH
ACYLCOASYN-MONOMER	EG11530	P69451	FadD	B1805, OldD
ADCCLOS-MONOMER	G-104	P23670	acetoacetate decarboxylase monomer	Adc
ADCLY-MONOMER	EG11493	P28305	pabC	B1096, PabC
ADENODEAMIN-MONOMER	EG10030	P22333		B1623, Add
ADENPRIBOSYLTRAN-MONOMER	EG10051	P69503	adenine phosphoribosyltransferase	B0469, Apt
ADENYL-KIN-MONOMER	EG10032	P69441		B0474, PlsA, DnaW, Adk
ADENYLATECYC-MONOMER	EG10170	P00936		B3806, Cya, CyaA
ADENYLOSUCCINATE-SYN-MONOMER	EG10790	P0A7D4	PurA	B4177, AdeK
ADENYLYLSULFKIN-MONOMER	EG10185	P0A6J1	CysC	B2750
ADHC-MONOMER	EG50010	P25437	FrmA	B0356, AdhC
ADHE-MONOMER	EG10031	P0A9Q7	AdhE	B1241, AdhC, Ana
ADHP-MONOMER	G6775	P39451		B1478, YddN, AdhP
AERGLYC3PDEHYDROG-MONOMER	EG10394	P13035	GlpD	B3426, GlyD
AG11-MONOMER	AG11	Q9M7C9	(4<i>S</i>)-limonene synthase	Ag-g-PIN2
AG4-MONOMER	AG4	O64404	&delta;-selinene synthase	Ag-f-&delta;SEL1
AG5-MONOMER	AG5	O64405	&gamma;-humulene synthase	Ag-f-&gamma;HUM
AG6-MONOMER	AG6	Q948Z0	camphene synthase	Ag-g-CAM
AG8-MONOMER	AG8	Q9M7D1	&beta;-phellandrene synthase	(-)-4S-&beta;-phellandrene synthase, Ag-g-&beta;PHE
AG9-MONOMER	AG9	Q9M7D0	terpinolene synthase	Ag-g-TEO
AGMATIN-MONOMER	EG10960	P60651	SpeB	B2937
AICARTRANSIMPCYCLO-CPLX	EG10795	P15639		B4006, PurH
AIRS-MONOMER	EG10798	P08178	PurM	B2499, PurI, PurG
AKBLIG-MONOMER	EG10512	P0AB77	Kbl	B3617
AKPTHIOLST-MONOMER	G-11572	C1FW06	AKP thiolase &alpha; subunit	OrtA
ALARACEBIOSYN-MONOMER	EG10001	P0A6B4	alanine racemase 1, PLP-binding, biosynthetic	B4053, Alr
ALARACECAT-MONOMER	EG11408	P29012		B1190, DadB, AlnB, AlnA, DadX
ALAS-MONOMER	EG10034	P00957	alanyl-tRNA synthetase	Act, B2697, LovB, AlaS, ala-act
ALDDEHYDROGB-MONOMER	EG12292	P37685		B3588, YiaX, AldB
ALDHDEHYDROG-MONOMER	EG10036	P23883	&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase	B1300, AldH, PuuC
ALDOSE1EPIM-MONOMER	EG11698	P0A9C3	galactose-1-epimerase	B0756, GalM
ALDXANAU-MONOMER			chloroacetaldehyde dehydrogenase	
ALPHA-AMYL-CYTO-MONOMER	EG11387	P26612		B1927, YedC, AmyA
ALPHA-AMYL-PERI-MONOMER	EG11316	P25718		B3571, MalS
ALPHAAPSGIGAS-MONOMER			adenylylsulfate reductase &alpha; subunit	
ALPHACOMP-MONOMER	EG10191	P38038	sulfite reductase, flavoprotein subunit	B2764, CysJ, SiR-FP, &alpha; subunit
ALPHAGALACTOSID-MONOMER	EG10577	P06720	&alpha;-galactosidase monomer	B4119, MelA, melibiase, &alpha;-D-galactoside galactohydrolase
ALPHALAC-MONOMER			&alpha; subunit	
ALTRO-OXIDOREDUCT-MONOMER	EG11065	P0A6L7		B1521, UxaB
ALTRODEHYDRAT-MONOMER	EG12734	P42604		B3091, YgjW, UxaA
AMBENCOATHAUERA-MONOMER			2-aminobenzoyl-CoA reductase	
AMINEOXID-MONOMER	EG13139	P46883	TynA	B1386, MaoA, FeaA
AMP-NUCLEOSID-MONOMER	EG10039	P0AE12	Amn	B1982
AMYLOMALT-MONOMER	EG10561	P15977		B3416, MalA, MalQ
ANGLYC3PDEHYDROGSUBUNITA-MONOMER	EG10391	P0A9C0	glycerol-3-phosphate dehydrogenase (anaerobic), large subunit	B2241, GlpA
ANGLYC3PDEHYDROGSUBUNITB-MONOMER	EG10392	P13033	glycerol-3-phosphate dehydrogenase (anaerobic), membrane anchor subunit	B2242, GlpB
ANGLYC3PDEHYDROGSUBUNITC-MONOMER	EG10393	P0A996	glycerol-3-phosphate dehydrogenase (anaerobic), small subunit	B2243, GlpC
ANSA-MONOMER	EG10045	P0A962	AnsA	B1767
ANSB-MONOMER	EG10046	P00805	AnsB	B2957
ANTHRANSYNCOMPI-MONOMER	EG11028	P00895	anthranilate synthase component I	B1264, TryD, TrpE, &alpha; subunit
ANTHRANSYNCOMPII-MONOMER	EG11027	P00904	anthranilate synthase component II	B1263, TrpD, TrpGD
AOHBENREDTHAUERA-MONOMER			4-hydroxybenzoyl-CoA reductase &alpha; subunit	
APHA-MONOMER	EG11934	P0AE22	acid phosphatase/phosphotransferase monomer	HobH, B4055, YjbP, AphA
APPA-MONOMER	EG10049	P07102	AppA	B0980
APPB-MONOMER	EG11379	P26458	cytochrome <i>bd</i>-II terminal oxidase subunit II	B0979, CyxB, AppB, CbdB
APPC-MONOMER	EG11380	P26459	cytochrome <i>bd</i>-II terminal oxidase subunit I	B0978, CyxA, CbdA, AppC
ARABISOM-MONOMER	EG10052	P08202	L-arabinose isomerase monomer	B0062, AraA
ARGBBACSU-MONOMER	G-290		ArgB	ArgB
ARGCBACSU-MONOMER	G-291			ArgC
ARGDBACSU-MONOMER	G-292			ArgD
ARGDECARBOXBIO-MONOMER	EG10959	P21170	SpeA	B2938
ARGDECARBOXDEG-MONOMER	EG11501	P28629	Adi	B4117, AdiA
ARGDEIMST-MONOMER				
ARGEBACSU-MONOMER	G-298			ArgE
ARGFBACSU-MONOMER	G-293		ArgF	ArgF
ARGGBACSU-MONOMER	G-294		ArgG	ArgG
ARGHBACSU-MONOMER	G-295			ArgH
ARGJBACSU-MONOMER	G-289		ArgJ	ArgJ
ARGS-MONOMER	EG10071	P11875		B1876, Lov, ArgS, ArgRS
ARGSUCCINLYA-MONOMER	EG11223	P11447		B3960, ArgH
ARGSUCCINSYN-MONOMER	EG10068	P0A6E4	ArgG	B3172
ARGSUCCTRAN-MONOMER	G6943	P0AE37		B1747, YdjV, AstA
AROA-MONOMER	EG10073	P0A6D3		B0908, AroA
AROABACSU-MONOMER	G-279		AroA	AroA
AROB-MONOMER	EG10074	P07639		B3389, AroB
AROBBACSU-MONOMER	G-280			AroB
AROC-MONOMER	EG10075	P12008	AroC	B2329
AROCBACSU-MONOMER	G-281		AroC	AroC
AROD-MONOMER	EG10076	P05194	AroD	B1693
ARODBACSU-MONOMER	G-282			AroD
AROE-MONOMER	EG10077	P15770		B3281, AroE
AROEBACSU-MONOMER	G-284			AroE
AROF-MONOMER	EG10078	P00888	AroF	B2601
AROFBACSU-MONOMER	G-285			AroF, vegetative protein 216, veg216
AROG-MONOMER	EG10079	P0AB91	AroG	B0754
AROH-MONOMER	EG10080	P00887	AroH	B1704
AROHBACSU-MONOMER	G-286		AroH	AroH
AROIBACSU-MONOMER	G-283			AroI
AROJBACSU-MONOMER	G-272			AroJ
AROK-MONOMER	EG10081	P0A6D7	shikimate kinase I	B3390, AroK, shikimic acid kinase I
AROL-MONOMER	EG10082	P0A6E1	shikimate kinase II	B0388, AroL
ARSA-MONOMER	G5000	P52145	ArsA	ArsA
ARYLSULFAT-MONOMER	EG10089	P25549		B3801, GppB, AtsA, AslA
ASL-MONOMER	EG11314	P0AB89	adenylosuccinate lyase	Ade, B1131, PurB
ASNS-MONOMER	EG10094	P0A8M0	asparaginyl-tRNA synthetase	B0930, Tss, Lcs, AsnS
ASNSYNA-MONOMER	EG10091	P00963	AsnA	B3744
ASNSYNB-MONOMER	EG10092	P22106	AsnB	B0674
ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER	EG10088	P0A9Q9	Asd	B3433, Dap, Hom
ASPAMINOTRANS-MONOMER	EG10096	P00509	AspC	B0928
ASPARTASE-MONOMER	EG10095	P0AC38	AspA	B4139
ASPCARBCAT-MONOMER	EG10805	P0A786	aspartate carbamoyltransferase, PyrB subunit	B4245, PyrB
ASPCARBREG-MONOMER	EG10811	P0A7F3	aspartate carbamoyltransferase, PyrI subunit	B4244, PyrI
ASPDECARBOX-MONOMER	EG11747	P0A790	PanD proenzyme, &pi; protein	B0131, PanD
ASPKINIHOMOSERDEHYDROGI-MONOMER	EG10998	P00561	ThrA	B0002, ThrD
ASPKINIIHOMOSERDEHYDROGII-MONOMER	EG10590	P00562	MetL	B3940, MetM
ASPKINIII-MONOMER	EG10550	P08660	LysC	B4024, Apk
ASPS-MONOMER	EG10097	P21889	aspartyl-tRNA synthetase	B1866, Tls, AspS
AT1G01120-MONOMER	AT1G01120		3-ketoacyl-CoA synthase	KCS1, condensing enzyme, KCS
AT1G01290-MONOMER	AT1G01290	Q39056		
